batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
0,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
1,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
2,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
3,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
4,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
5,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
6,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
7,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
8,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
9,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
10,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
11,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
12,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
13,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
14,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
15,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
16,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
17,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
18,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
19,0.9908163265306122,0.9700440528634361,0.875,0.903960396039604,0.9562118126272913,0.9663677130044843,0.9258872651356994,0.9289883268482491,0.8295687885010267,0.9326065411298315
