batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
0,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
1,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
2,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
3,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
4,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
5,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
6,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
7,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
8,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
9,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
10,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
11,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
12,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
13,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
14,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
15,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
16,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
17,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
18,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
19,0.9796690307328605,0.8893241919686582,0.9610458911419424,0.9274924471299094,0.8819969742813918
