batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.3645,0.1925,0.3885,0.6165,0.552
0,0.3645,0.1925,0.3885,0.6165,0.552
1,0.3645,0.1925,0.3885,0.6165,0.552
2,0.3645,0.1925,0.3885,0.6165,0.552
3,0.3645,0.1925,0.3885,0.6165,0.552
4,0.3645,0.1925,0.3885,0.6165,0.552
5,0.3645,0.1925,0.3885,0.6165,0.552
6,0.3645,0.1925,0.3885,0.6165,0.552
7,0.3645,0.1925,0.3885,0.6165,0.552
8,0.3645,0.1925,0.3885,0.6165,0.552
9,0.3645,0.1925,0.3885,0.6165,0.552
10,0.3645,0.1925,0.3885,0.6165,0.552
11,0.3645,0.1925,0.3885,0.6165,0.552
12,0.3645,0.1925,0.3885,0.6165,0.552
13,0.3645,0.1925,0.3885,0.6165,0.552
14,0.3645,0.1925,0.3885,0.6165,0.552
15,0.3645,0.1925,0.3885,0.6165,0.552
16,0.3645,0.1925,0.3885,0.6165,0.552
17,0.3645,0.1925,0.3885,0.6165,0.552
18,0.3645,0.1925,0.3885,0.6165,0.552
19,0.3645,0.1925,0.3885,0.6165,0.552
