dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,proposed,4,0.4229,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,proposed,4,0.4229,,0.0,0.6953125,0,256,,0.0,0.14424912855029107,0.0,,0,0,0,2.7514341669999993
cifar10,1,proposed,4,0.4229,,0.0,0.75,0,256,,0.0,0.158778640627861,0.0,,0,0,0,2.72371025
cifar10,2,proposed,4,0.4229,,0.0,0.74609375,0,256,,0.62109375,0.18358056396245956,0.0,,0,0,0,2.7388145
cifar10,3,proposed,4,0.4229,,0.0,0.74609375,0,256,,0.0,0.13446989431977271,0.0,,0,0,0,2.7721606250000015
cifar10,4,proposed,4,0.4229,,0.0,0.796875,0,256,,0.62109375,0.13968026489019394,0.0,,0,0,0,2.736479333000002
cifar10,5,proposed,4,0.4229,,0.0,0.76171875,0,256,,0.0,0.12497319355607032,0.0,,0,0,0,2.749824166
cifar10,6,proposed,4,0.4229,,0.0,0.78515625,0,256,,0.625,0.15608473680913448,0.0,,0,0,0,2.736820875000003
cifar10,7,proposed,4,0.4229,,0.0,0.72265625,0,256,,0.0,0.1686485256999731,0.0,,0,0,0,2.7365302920000047
cifar10,8,proposed,4,0.4229,,0.0,0.6875,0,256,,0.62890625,0.15830728895962237,0.0,,0,0,0,2.7681187920000028
cifar10,9,proposed,4,0.4229,,0.0,0.72265625,0,256,,0.0,0.15859512835741044,0.0,,0,0,0,2.7560517499999975
cifar10,10,proposed,4,0.4229,,0.0,0.703125,0,256,,0.62890625,0.11558411233127117,0.0,,0,0,0,2.745250917
cifar10,11,proposed,4,0.4229,,0.0,0.76171875,0,256,,0.62109375,0.16612750366330148,0.0,,0,0,0,2.758676708000003
cifar10,12,proposed,4,0.4229,,0.0,0.76171875,0,256,,0.62109375,0.13714921623468398,0.0,,0,0,0,2.7455677499999993
cifar10,13,proposed,4,0.4229,,0.0,0.7109375,0,256,,0.625,0.14085304215550423,0.0,,0,0,0,2.743526000000003
cifar10,14,proposed,4,0.4229,,0.0,0.6328125,0,256,,0.625,0.12593335062265396,0.0,,0,0,0,2.7623094999999935
cifar10,15,proposed,4,0.4229,,0.0,0.73046875,0,256,,0.625,0.1627061665058136,0.0,,0,0,0,2.748733625
cifar10,16,proposed,4,0.4229,,0.0,0.7265625,0,256,,0.625,0.15572567880153657,0.0,,0,0,0,2.7458643340000037
cifar10,17,proposed,4,0.4229,,0.0,0.73046875,0,256,,0.62109375,0.16302531808614731,0.0,,0,0,0,2.7521311669999946
cifar10,18,proposed,4,0.4229,,0.0,0.7578125,0,256,,0.625,0.15590809136629105,0.0,,0,0,0,2.7527956249999974
cifar10,19,proposed,4,0.4229,,0.0,0.73828125,0,256,,0.62890625,0.1344358891248703,0.0,,0,0,0,2.7537365419999986
