dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,offline,1,0.4042,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,offline,1,0.4042,,,,0,0,,0.0,0.13461813442409037,0.0,,0,0,0,2.714655875
cifar10,1,offline,1,0.4042,,,,0,0,,0.0,0.12294144816696644,0.0,,0,0,0,2.6994602079999996
cifar10,2,offline,1,0.4042,,,,0,0,,0.62109375,0.14933803156018258,0.0,,0,0,0,2.7071421670000007
cifar10,3,offline,1,0.4042,,,,0,0,,0.0,0.15814700797200204,0.0,,0,0,0,2.6806331670000016
cifar10,4,offline,1,0.4042,,,,0,0,,0.62109375,0.13892436996102334,0.0,,0,0,0,2.686156624999999
cifar10,5,offline,1,0.4042,,,,0,0,,0.0,0.13249463438987732,0.0,,0,0,0,2.688779083
cifar10,6,offline,1,0.4042,,,,0,0,,0.625,0.13262116611003877,0.0,,0,0,0,2.6951300000000025
cifar10,7,offline,1,0.4042,,,,0,0,,0.0,0.12824104800820352,0.0,,0,0,0,2.687753208
cifar10,8,offline,1,0.4042,,,,0,0,,0.62890625,0.16001539751887323,0.0,,0,0,0,2.7071468749999994
cifar10,9,offline,1,0.4042,,,,0,0,,0.0,0.142095310613513,0.0,,0,0,0,2.7195040840000004
cifar10,10,offline,1,0.4042,,,,0,0,,0.62890625,0.11683348305523396,0.0,,0,0,0,2.810263749999997
cifar10,11,offline,1,0.4042,,,,0,0,,0.62109375,0.13139335587620735,0.0,,0,0,0,2.903499332999999
cifar10,12,offline,1,0.4042,,,,0,0,,0.62109375,0.1374594621360302,0.0,,0,0,0,2.899793625000001
cifar10,13,offline,1,0.4042,,,,0,0,,0.625,0.14127197489142418,0.0,,0,0,0,2.8080957499999997
cifar10,14,offline,1,0.4042,,,,0,0,,0.625,0.1377361286431551,0.0,,0,0,0,2.910833249999996
cifar10,15,offline,1,0.4042,,,,0,0,,0.625,0.17123852595686911,0.0,,0,0,0,2.9754976249999956
cifar10,16,offline,1,0.4042,,,,0,0,,0.625,0.14114683941006662,0.0,,0,0,0,2.880448915999999
cifar10,17,offline,1,0.4042,,,,0,0,,0.62109375,0.16584054082632066,0.0,,0,0,0,2.7163873750000036
cifar10,18,offline,1,0.4042,,,,0,0,,0.625,0.1612462129443884,0.0,,0,0,0,2.7276483330000048
cifar10,19,offline,1,0.4042,,,,0,0,,0.62890625,0.14903190471231936,0.0,,0,0,0,2.7169362500000034
