dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,proposed,0,0.3988,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,proposed,0,0.3988,,0.0,0.6484375,0,256,,0.0,0.15106400810182094,0.0,,0,0,0,2.850649917
cifar10,1,proposed,0,0.3988,,0.0,0.59765625,0,256,,0.0,0.1384280078113079,0.0,,0,0,0,2.709680582999999
cifar10,2,proposed,0,0.3988,,0.0,0.48828125,0,256,,0.62109375,0.1054266769438982,0.0,,0,0,0,2.72400225
cifar10,3,proposed,0,0.3988,,0.0,0.50390625,0,256,,0.0,0.15594895482063292,0.0,,0,0,0,2.7338718329999985
cifar10,4,proposed,0,0.3988,,0.0,0.5859375,0,256,,0.62109375,0.1292274720966816,0.0,,0,0,0,2.736175708000001
cifar10,5,proposed,0,0.3988,,0.0,0.52734375,0,256,,0.0,0.12066602781414985,0.0,,0,0,0,2.7374635420000004
cifar10,6,proposed,0,0.3988,,0.0,0.5703125,0,256,,0.625,0.12840347774326802,0.0,,0,0,0,2.7757722079999994
cifar10,7,proposed,0,0.3988,,0.0,0.59765625,0,256,,0.0,0.14335285164415837,0.0,,0,0,0,2.738907832999999
cifar10,8,proposed,0,0.3988,,0.0,0.6484375,0,256,,0.62890625,0.12135986872017383,0.0,,0,0,0,2.7055743330000013
cifar10,9,proposed,0,0.3988,,0.0,0.61328125,0,256,,0.0,0.12502817437052727,0.0,,0,0,0,2.8233853749999938
cifar10,10,proposed,0,0.3988,,0.0,0.578125,0,256,,0.62890625,0.11763897091150284,0.0,,0,0,0,2.717727249999996
cifar10,11,proposed,0,0.3988,,0.0,0.5390625,0,256,,0.62109375,0.13300238847732543,0.0,,0,0,0,2.7243662079999993
cifar10,12,proposed,0,0.3988,,0.0,0.5546875,0,256,,0.62109375,0.12065164148807525,0.0,,0,0,0,2.670374792000004
cifar10,13,proposed,0,0.3988,,0.0,0.49609375,0,256,,0.625,0.12845727056264877,0.0,,0,0,0,2.6850951249999966
cifar10,14,proposed,0,0.3988,,0.0,0.70703125,0,256,,0.625,0.13377408906817437,0.0,,0,0,0,2.6996664159999995
cifar10,15,proposed,0,0.3988,,0.0,0.57421875,0,256,,0.625,0.13101928010582925,0.0,,0,0,0,2.711954167000002
cifar10,16,proposed,0,0.3988,,0.0,0.55859375,0,256,,0.625,0.1375316120684147,0.0,,0,0,0,2.710206249999999
cifar10,17,proposed,0,0.3988,,0.0,0.51171875,0,256,,0.62109375,0.10773287639021874,0.0,,0,0,0,2.722868959000003
cifar10,18,proposed,0,0.3988,,0.0,0.63671875,0,256,,0.625,0.14597783237695694,0.0,,0,0,0,2.6959412089999972
cifar10,19,proposed,0,0.3988,,0.0,0.58203125,0,256,,0.62890625,0.15692428611218928,0.0,,0,0,0,2.7008163750000023
