batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.4805,0.1535,0.378,0.553,0.5495
0,0.4805,0.1535,0.378,0.553,0.5495
1,0.4805,0.1535,0.378,0.553,0.5495
2,0.4805,0.1535,0.378,0.553,0.5495
3,0.4805,0.1535,0.378,0.553,0.5495
4,0.4805,0.1535,0.378,0.553,0.5495
5,0.4805,0.1535,0.378,0.553,0.5495
6,0.4805,0.1535,0.378,0.553,0.5495
7,0.4805,0.1535,0.378,0.553,0.5495
8,0.4805,0.1535,0.378,0.553,0.5495
9,0.4805,0.1535,0.378,0.553,0.5495
10,0.4805,0.1535,0.378,0.553,0.5495
11,0.4805,0.1535,0.378,0.553,0.5495
12,0.4805,0.1535,0.378,0.553,0.5495
13,0.4805,0.1535,0.378,0.553,0.5495
14,0.4805,0.1535,0.378,0.553,0.5495
15,0.4805,0.1535,0.378,0.553,0.5495
16,0.4805,0.1535,0.378,0.553,0.5495
17,0.4805,0.1535,0.378,0.553,0.5495
18,0.4805,0.1535,0.378,0.553,0.5495
19,0.4805,0.1535,0.378,0.553,0.5495
