batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
0,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
1,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
2,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
3,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
4,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
5,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
6,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
7,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
8,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
9,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
10,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
11,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
12,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
13,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
14,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
15,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
16,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
17,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
18,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
19,0.385,0.701,0.191,0.173,0.303,0.687,0.221,0.34,0.516,0.525
