dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,proposed,1,0.4042,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,proposed,1,0.4042,,0.0,0.67578125,0,256,,0.0,0.13461813442409037,0.0,,0,0,0,3.1063694999999996
cifar10,1,proposed,1,0.4042,,0.0,0.68359375,0,256,,0.0,0.12294144816696644,0.0,,0,0,0,2.778556375000001
cifar10,2,proposed,1,0.4042,,0.0,0.67578125,0,256,,0.62109375,0.14933803156018258,0.0,,0,0,0,2.7598778329999973
cifar10,3,proposed,1,0.4042,,0.0,0.65234375,0,256,,0.0,0.15814700797200204,0.0,,0,0,0,2.7496097919999976
cifar10,4,proposed,1,0.4042,,0.0,0.65234375,0,256,,0.62109375,0.13892436996102334,0.0,,0,0,0,2.7132577500000004
cifar10,5,proposed,1,0.4042,,0.0,0.64453125,0,256,,0.0,0.13249463438987732,0.0,,0,0,0,2.9364574999999995
cifar10,6,proposed,1,0.4042,,0.0,0.6015625,0,256,,0.625,0.13262116611003877,0.0,,0,0,0,3.166745666999997
cifar10,7,proposed,1,0.4042,,0.0,0.6484375,0,256,,0.0,0.12824104800820352,0.0,,0,0,0,2.835061291999999
cifar10,8,proposed,1,0.4042,,0.0,0.7109375,0,256,,0.62890625,0.16001539751887323,0.0,,0,0,0,3.2126640409999965
cifar10,9,proposed,1,0.4042,,0.0,0.7421875,0,256,,0.0,0.142095310613513,0.0,,0,0,0,2.772721916000002
cifar10,10,proposed,1,0.4042,,0.0,0.6015625,0,256,,0.62890625,0.11683348305523396,0.0,,0,0,0,2.930829749999994
cifar10,11,proposed,1,0.4042,,0.0,0.6640625,0,256,,0.62109375,0.13139335587620735,0.0,,0,0,0,2.7548929169999994
cifar10,12,proposed,1,0.4042,,0.0,0.60546875,0,256,,0.62109375,0.1374594621360302,0.0,,0,0,0,2.7108125839999957
cifar10,13,proposed,1,0.4042,,0.0,0.609375,0,256,,0.625,0.14127197489142418,0.0,,0,0,0,2.701751917000003
cifar10,14,proposed,1,0.4042,,0.0,0.7109375,0,256,,0.625,0.1377361286431551,0.0,,0,0,0,2.7382835829999976
cifar10,15,proposed,1,0.4042,,0.0,0.65234375,0,256,,0.625,0.17123852595686911,0.0,,0,0,0,2.729812832999997
cifar10,16,proposed,1,0.4042,,0.0,0.65625,0,256,,0.625,0.14114683941006662,0.0,,0,0,0,2.726949542
cifar10,17,proposed,1,0.4042,,0.0,0.6328125,0,256,,0.62109375,0.16584054082632066,0.0,,0,0,0,2.7158922090000033
cifar10,18,proposed,1,0.4042,,0.0,0.56640625,0,256,,0.625,0.1612462129443884,0.0,,0,0,0,2.7256750829999987
cifar10,19,proposed,1,0.4042,,0.0,0.7265625,0,256,,0.62890625,0.14903190471231936,0.0,,0,0,0,2.7352389579999965
