batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.456,0.1845,0.3635,0.531,0.506
0,0.456,0.1845,0.3635,0.531,0.506
1,0.456,0.1845,0.3635,0.531,0.506
2,0.456,0.1845,0.3635,0.531,0.506
3,0.456,0.1845,0.3635,0.531,0.506
4,0.456,0.1845,0.3635,0.531,0.506
5,0.456,0.1845,0.3635,0.531,0.506
6,0.456,0.1845,0.3635,0.531,0.506
7,0.456,0.1845,0.3635,0.531,0.506
8,0.456,0.1845,0.3635,0.531,0.506
9,0.456,0.1845,0.3635,0.531,0.506
10,0.456,0.1845,0.3635,0.531,0.506
11,0.456,0.1845,0.3635,0.531,0.506
12,0.456,0.1845,0.3635,0.531,0.506
13,0.456,0.1845,0.3635,0.531,0.506
14,0.456,0.1845,0.3635,0.531,0.506
15,0.456,0.1845,0.3635,0.531,0.506
16,0.456,0.1845,0.3635,0.531,0.506
17,0.456,0.1845,0.3635,0.531,0.506
18,0.456,0.1845,0.3635,0.531,0.506
19,0.456,0.1845,0.3635,0.531,0.506
