dataset,method,runs,final_accuracy_mean,final_accuracy_std,mean_stream_accuracy_mean,mean_stream_accuracy_std,classwise_forgetting_mean,classwise_forgetting_std,average_incremental_accuracy_mean,average_incremental_accuracy_std,backward_transfer_proxy_mean,backward_transfer_proxy_std,mean_pseudo_precision_mean,mean_pseudo_precision_std,mean_pseudo_coverage_mean,mean_pseudo_coverage_std,mean_feature_centroid_drift_mean,mean_feature_centroid_drift_std,mean_parameter_change_mean,mean_parameter_change_std,mean_batch_seconds_mean,mean_batch_seconds_std,total_seconds_mean,total_seconds_std
cifar10,offline,5,0.41137999999999997,0.010989176493259178,0.41137999999999997,0.010989176493259171,0.0,0.0,0.41138,0.010989176493259173,0.0,0.0,,0.0,,0.0,0.1391494578016656,0.008912339926405187,0.0,0.0,2.75621866916,0.03595732632080144,60.94453961659999,2.032275217727689
cifar10,proposed,5,0.41137999999999997,0.010989176493259178,0.41137999999999997,0.010989176493259171,0.0,0.0,0.41138,0.010989176493259173,0.0,0.0,,0.0,0.0,0.0,0.1391494578016656,0.008912339926405187,0.0,0.0,2.7601548945999994,0.037418676207460484,64.3894220916,2.045483498146074
