dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,offline,2,0.4228,,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,offline,2,0.4228,,,,0,0,,0.0,0.16397899836301805,0.0,,0,0,0,2.716492625
cifar10,1,offline,2,0.4228,,,,0,0,,0.0,0.13991449028253555,0.0,,0,0,0,2.7041384169999994
cifar10,2,offline,2,0.4228,,,,0,0,,0.62109375,0.17658751793205738,0.0,,0,0,0,2.796037
cifar10,3,offline,2,0.4228,,,,0,0,,0.0,0.15452274382114412,0.0,,0,0,0,3.1970750829999997
cifar10,4,offline,2,0.4228,,,,0,0,,0.62109375,0.17573231980204582,0.0,,0,0,0,2.856819083999998
cifar10,5,offline,2,0.4228,,,,0,0,,0.0,0.1788426972925663,0.0,,0,0,0,2.710355458000002
cifar10,6,offline,2,0.4228,,,,0,0,,0.625,0.1429805714637041,0.0,,0,0,0,2.652052042000001
cifar10,7,offline,2,0.4228,,,,0,0,,0.0,0.1601014479994774,0.0,,0,0,0,2.645217875
cifar10,8,offline,2,0.4228,,,,0,0,,0.62890625,0.15377202033996581,0.0,,0,0,0,2.7906627920000027
cifar10,9,offline,2,0.4228,,,,0,0,,0.0,0.1588797464966774,0.0,,0,0,0,2.932300667
cifar10,10,offline,2,0.4228,,,,0,0,,0.62890625,0.13452264480292797,0.0,,0,0,0,2.7799272079999966
cifar10,11,offline,2,0.4228,,,,0,0,,0.62109375,0.14811389669775962,0.0,,0,0,0,2.792459583000003
cifar10,12,offline,2,0.4228,,,,0,0,,0.62109375,0.15581121668219566,0.0,,0,0,0,2.711242542000001
cifar10,13,offline,2,0.4228,,,,0,0,,0.625,0.17863940969109535,0.0,,0,0,0,2.716621832999998
cifar10,14,offline,2,0.4228,,,,0,0,,0.625,0.14596288427710533,0.0,,0,0,0,2.8354348339999973
cifar10,15,offline,2,0.4228,,,,0,0,,0.625,0.14350099712610245,0.0,,0,0,0,2.8633205840000002
cifar10,16,offline,2,0.4228,,,,0,0,,0.625,0.13614753931760787,0.0,,0,0,0,2.8161406250000027
cifar10,17,offline,2,0.4228,,,,0,0,,0.62109375,0.13484563454985618,0.0,,0,0,0,2.8231840409999975
cifar10,18,offline,2,0.4228,,,,0,0,,0.625,0.18393587097525596,0.0,,0,0,0,2.9112553340000034
cifar10,19,offline,2,0.4228,,,,0,0,,0.62890625,0.14105542600154877,0.0,,0,0,0,2.7584249160000027
