task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.8458628841607565,0.3893241919686582,0.6472785485592316,0.3947633434038268,0.25012607160867373,-1
0.8978723404255319,0.6841332027424094,0.4210245464247599,0.5619335347432024,0.5481593545133636,0
0.909692671394799,0.6243878550440745,0.5229455709711847,0.5201409869083585,0.5970751386787695,1
0.9016548463356974,0.7081292850146915,0.4343649946638207,0.5473313192346425,0.6631366616238024,2
0.83451536643026,0.7277179236043095,0.39434364994663823,0.6419939577039275,0.6848209783156833,3
0.8231678486997636,0.6248775710088149,0.3826040554962647,0.6565961732124874,0.7826525466464952,4
0.8709219858156029,0.6092066601371204,0.4263607257203842,0.6258811681772407,0.7090267271810389,5
0.8898345153664302,0.6767874632713027,0.4445037353255069,0.5785498489425982,0.7317196167423097,6
0.8978723404255319,0.7742409402546523,0.4466382070437567,0.7255790533736153,0.7155824508320726,7
0.783451536643026,0.589128305582762,0.3415154749199573,0.7316213494461229,0.5158850226928896,8
0.8841607565011821,0.7972575905974535,0.4605122732123799,0.7784491440080564,0.7902168431669188,9
0.8501182033096927,0.7492654260528894,0.5170757737459979,0.7814702920443102,0.8255168935955622,10
0.9134751773049645,0.7316356513222331,0.6152614727854856,0.7990936555891238,0.8018154311649016,11
0.8997635933806146,0.7169441723800196,0.4967982924226254,0.7517623363544814,0.8391326273323247,12
0.866193853427896,0.7997061704211558,0.5875133404482391,0.8403826787512588,0.815935451336359,13
0.8903073286052009,0.7908912830558276,0.5528281750266809,0.851460221550856,0.8703983862834089,14
0.9234042553191489,0.7943192948090108,0.6744930629669157,0.7724068479355488,0.8139183055975794,15
0.9078014184397163,0.8143976493633692,0.6189967982924226,0.8418932527693856,0.8749369641956631,16
0.9059101654846335,0.8295788442703232,0.5859124866595518,0.7829808660624371,0.8477054967221381,17
0.9271867612293144,0.8349657198824681,0.5811099252934898,0.8761329305135952,0.8567826525466465,18
0.9371158392434988,0.7727717923604309,0.612059765208111,0.8761329305135952,0.8779626828038326,19
