dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
cifar10,sdsl_full,4,-1,0.2992,2.0312324956059458,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,0,0.0
cifar10,sdsl_full,4,0,0.343,1.7864413410425186,0.37890625,1.0,0.390625,0.3359375,0.3671875,0.72265625,0.15135705471038818,0.0,0.014229820603959532,1.6458699107170105,1.7588216066360474,0.11295169591903687,0.041053195111453535,0.5498854744412848,0.0014275469817221164,2,256,5.759924250000001
cifar10,sdsl_full,4,1,0.3337,1.6564761698246002,0.359375,1.0,0.40625,0.3125,0.328125,0.74609375,0.16553008556365967,0.0,0.016178635637643837,1.6127865970134736,1.8243649303913116,0.21157833337783813,0.05728023331612349,0.7166852626516784,0.0018704504298511892,3,256,5.650563166000001
cifar10,sdsl_full,4,2,0.3326,1.618966680765152,0.15625,1.0,0.16015625,0.140625,0.140625,0.6484375,0.16258029639720917,0.62109375,0.012855335330971895,1.6296849250793457,2.0519737899303436,0.4222888648509979,0.08551985807716847,0.7431469864602142,0.0021648599999025465,4,256,5.610444874999999
cifar10,sdsl_full,4,3,0.327,1.6533221065998078,0.16796875,1.0,0.1484375,0.1796875,0.1875,0.65234375,0.15735366940498352,0.0,0.011259802267783418,1.6217849552631378,1.9301603198051454,0.3083753645420074,0.0779978945851326,0.687361542276552,0.0019207872072001919,5,256,5.638319374999998
cifar10,sdsl_full,4,4,0.3288,1.63747478723526,0.328125,1.0,0.35546875,0.28125,0.2734375,0.640625,0.13401737809181213,0.62109375,0.010966135190701025,1.6272153675556182,2.479729676246643,0.8525143086910247,0.12503848243504762,0.750740073310262,0.002281191261135973,6,256,5.610992124999996
cifar10,sdsl_full,4,5,0.3325,1.6208613693714142,0.39453125,1.0,0.43359375,0.3359375,0.3359375,0.6484375,0.13395282626152039,0.0,0.009782247659490994,1.5871529817581176,2.300161802768707,0.7130088210105896,0.11372519079595804,0.7966375947914439,0.0019823000475298613,7,256,5.664647792000004
cifar10,sdsl_full,4,6,0.3265,1.5976019203662872,0.328125,1.0,0.375,0.28515625,0.296875,0.64453125,0.15002423524856567,0.625,0.011562093821427416,1.60099715590477,2.302648288011551,0.701651132106781,0.11781153623014688,0.7912643703680186,0.0020882701210211962,8,256,5.6093235419999985
cifar10,sdsl_full,4,7,0.3371,1.5978776276111604,0.28515625,1.0,0.30859375,0.26171875,0.2421875,0.74609375,0.13086819648742676,0.0,0.011317747840293439,1.5645368278026581,2.737923961877823,1.1733871340751647,0.14296845057979227,0.7788651493988832,0.0022978587250690906,8,256,5.6340110420000045
cifar10,sdsl_full,4,8,0.3469,1.5769931077957153,0.30078125,1.0,0.34375,0.29296875,0.27734375,0.7578125,0.16893799602985382,0.62890625,0.011582858146507356,1.5407345414161682,2.185851925611496,0.6451173841953277,0.12048239558935166,0.7160465781443435,0.0023600477841682734,8,256,5.618605791999997
