class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.6428571428571429,0.9726872246696036,0.36627906976744184,0.8683168316831683,0.7708757637474541,0.2858744394618834,0.37891440501043844,0.8219844357976653,0.6827515400410678,0.400396432111001,-1
0.6234693877551021,0.9744493392070485,0.5436046511627907,0.7297029702970297,0.8044806517311609,0.4047085201793722,0.5855949895615866,0.8521400778210116,0.6303901437371663,0.5133795837462835,0
0.676530612244898,0.9859030837004406,0.500968992248062,0.804950495049505,0.7515274949083504,0.35874439461883406,0.5741127348643006,0.8190661478599222,0.5462012320328542,0.39345887016848363,1
0.686734693877551,0.9788546255506608,0.6812015503875969,0.7891089108910891,0.8034623217922607,0.3721973094170404,0.592901878914405,0.8511673151750972,0.44250513347022585,0.38850346878097125,2
0.6244897959183674,0.9814977973568282,0.625968992248062,0.8821782178217822,0.8105906313645621,0.22982062780269058,0.639874739039666,0.8861867704280155,0.7433264887063655,0.47472745292368684,3
0.6704081632653062,0.9568281938325991,0.7131782945736435,0.900990099009901,0.8686354378818737,0.19170403587443946,0.673277661795407,0.8832684824902723,0.7053388090349076,0.5678889990089198,4
0.6969387755102041,0.9629955947136564,0.626937984496124,0.9188118811881189,0.860488798370672,0.18834080717488788,0.6826722338204593,0.8861867704280155,0.8028747433264887,0.5044598612487612,5
0.746938775510204,0.9674008810572687,0.6434108527131783,0.8801980198019802,0.90020366598778,0.242152466367713,0.6085594989561587,0.9066147859922179,0.8459958932238193,0.6085232903865213,6
0.6163265306122448,0.9806167400881057,0.7141472868217055,0.7722772277227723,0.840122199592668,0.43946188340807174,0.8162839248434238,0.9134241245136187,0.8819301848049281,0.6382556987115956,7
0.6316326530612245,0.9770925110132158,0.6434108527131783,0.7594059405940594,0.785132382892057,0.452914798206278,0.8392484342379958,0.9153696498054474,0.9219712525667351,0.7472745292368682,8
0.5642857142857143,0.9876651982378855,0.6802325581395349,0.7702970297029703,0.8075356415478615,0.4461883408071749,0.7776617954070981,0.8793774319066148,0.9363449691991786,0.8116947472745293,9
0.7357142857142858,0.9814977973568282,0.7393410852713178,0.7752475247524753,0.8482688391038696,0.45964125560538116,0.7818371607515657,0.8998054474708171,0.9281314168377823,0.7819623389494549,10
0.6602040816326531,0.9859030837004406,0.7722868217054264,0.8277227722772277,0.8095723014256619,0.4327354260089686,0.8048016701461378,0.896887159533074,0.9332648870636551,0.7958374628344896,11
0.7755102040816326,0.9823788546255506,0.7248062015503876,0.8326732673267326,0.8279022403258656,0.4585201793721973,0.8507306889352818,0.9075875486381323,0.9353182751540041,0.7839444995044599,12
0.8142857142857143,0.9850220264317181,0.7655038759689923,0.8475247524752475,0.8411405295315683,0.4103139013452915,0.7954070981210856,0.9212062256809338,0.9353182751540041,0.7651139742319127,13
0.7826530612244897,0.9859030837004406,0.7286821705426356,0.8574257425742574,0.8543788187372708,0.4024663677130045,0.8235908141962421,0.9299610894941635,0.9353182751540041,0.7641228939544104,14
0.7724489795918368,0.9859030837004406,0.8372093023255814,0.8316831683168316,0.8767820773930753,0.49887892376681614,0.8308977035490606,0.9085603112840467,0.9209445585215605,0.7819623389494549,15
0.8010204081632653,0.9850220264317181,0.8323643410852714,0.8445544554455445,0.8767820773930753,0.48094170403587444,0.860125260960334,0.9017509727626459,0.9188911704312115,0.7908820614469773,16
0.8030612244897959,0.9762114537444934,0.7955426356589147,0.8613861386138614,0.8686354378818737,0.33408071748878926,0.8569937369519833,0.882295719844358,0.9661190965092402,0.8523290386521308,17
0.8397959183673469,0.9832599118942731,0.7025193798449613,0.8356435643564356,0.8472505091649695,0.39798206278026904,0.8569937369519833,0.8988326848249028,0.9722792607802875,0.8701684836471755,18
0.813265306122449,0.9726872246696036,0.874031007751938,0.8386138613861386,0.8940936863543788,0.5448430493273543,0.8747390396659708,0.9202334630350194,0.9188911704312115,0.8424182358771061,19
