dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
mnist,sdsl_full,2,-1,0.5077,1.8822017386555672,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,0,0.0
mnist,sdsl_full,2,0,0.6288,1.2479344010353088,0.73046875,1.0,0.76953125,0.62109375,0.640625,0.79296875,0.07630932331085205,0.0,0.016186934917623554,1.1141423344612122,1.7894431471824646,0.6753008127212524,0.08523224433884025,0.8381038136035788,0.002130032645072788,2,256,4.876433875
mnist,sdsl_full,2,1,0.6396,1.1000373989343644,0.69140625,1.0,0.75,0.59765625,0.6015625,0.7421875,0.08589431643486023,0.0,0.014552296346198817,1.0649795085191727,1.8415087699890136,0.776529261469841,0.09875905206426978,0.8183347691812782,0.0023558388231322168,3,256,5.276546750000001
mnist,sdsl_full,2,2,0.6569,1.0475728303194045,0.62890625,1.0,0.67578125,0.44921875,0.48828125,0.6796875,0.07601876556873322,0.62109375,0.014425473518398197,1.077468827366829,2.3275089502334594,1.2500401228666305,0.12847803197801114,0.8444724407324333,0.0023397784592816607,4,256,5.225577999999999
mnist,sdsl_full,2,3,0.6623,1.0799334645271301,0.671875,1.0,0.6875,0.484375,0.48828125,0.5546875,0.07985830307006836,0.0,0.013611364163199203,1.0351307004690171,2.2088002800941466,1.1736695796251297,0.1316179884597659,0.8287743085735858,0.0024168441130314024,5,256,4.75668125
mnist,sdsl_full,2,4,0.659,1.0336133271455765,0.43359375,1.0,0.46875,0.4296875,0.4453125,0.5234375,0.07409949600696564,0.62109375,0.013046392327749654,1.0070893734693527,3.127222406864166,2.1201330333948136,0.17800301741808652,0.8429938682944341,0.00235951927897986,6,256,4.641126332999999
mnist,sdsl_full,2,5,0.6534,0.9995575278997422,0.5,1.0,0.5078125,0.4453125,0.51171875,0.5390625,0.09244126081466675,0.0,0.012605926503201277,0.9571723639965057,4.820854806900025,3.8636824429035186,0.20250099264085292,0.8391180581825614,0.0024287283013109118,7,256,4.650800832999998
mnist,sdsl_full,2,6,0.6697,0.9441554933786392,0.6015625,1.0,0.625,0.46484375,0.484375,0.59765625,0.0804390013217926,0.625,0.013055010246561758,0.9175531715154648,3.430746668577194,2.5131934970617293,0.17474351301789284,0.8448799370184179,0.002500000037252903,8,256,4.872473583000001
mnist,sdsl_full,2,7,0.7177,0.9149713724851608,0.70703125,1.0,0.76171875,0.546875,0.5859375,0.70703125,0.09010472148656845,0.0,0.013202309211436959,0.8667738169431687,3.7654788970947264,2.898705080151558,0.19645873233675956,0.8361121363267306,0.002448555576847866,8,256,4.6593171669999975
mnist,sdsl_full,2,8,0.5976,0.881503227353096,0.65234375,1.0,0.7265625,0.45703125,0.4765625,0.62890625,0.10687333345413208,0.62890625,0.012888280004652471,0.9516716569662094,5.33880717754364,4.387135520577431,0.2499999962747097,0.6598377526630712,0.0025000000721774997,8,256,4.639112791999999
