task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.3855,0.0785,0.3535,0.3185,0.2815,-1
0.462,0.062,0.1885,0.4665,0.3465,0
0.4645,0.075,0.1985,0.4515,0.358,1
0.445,0.048,0.234,0.465,0.3675,2
0.407,0.033,0.268,0.4365,0.4135,3
0.4885,0.0175,0.28,0.4315,0.35,4
0.481,0.014,0.2985,0.4345,0.3585,5
0.504,0.022,0.3065,0.3965,0.3765,6
0.4965,0.026,0.287,0.4375,0.3805,7
0.4485,0.0245,0.327,0.415,0.441,8
0.4955,0.068,0.247,0.4955,0.352,9
0.514,0.0605,0.325,0.407,0.3345,10
0.4715,0.0365,0.2855,0.4765,0.43,11
0.497,0.0315,0.3125,0.449,0.4035,12
0.4085,0.03,0.3265,0.433,0.5165,13
0.4355,0.039,0.3475,0.4075,0.51,14
0.437,0.066,0.3295,0.4535,0.41,15
0.3745,0.039,0.265,0.5335,0.5655,16
0.38,0.027,0.2715,0.547,0.557,17
0.3985,0.0585,0.2615,0.541,0.525,18
0.4175,0.0745,0.2905,0.496,0.5385,19
