dataset,runs,initial_accuracy_mean,initial_accuracy_std,final_accuracy_mean,final_accuracy_std,mean_stream_accuracy_mean,mean_stream_accuracy_std,classwise_forgetting_mean,classwise_forgetting_std,average_incremental_accuracy_mean,average_incremental_accuracy_std,backward_transfer_proxy_mean,backward_transfer_proxy_std,mean_pseudo_precision_mean,mean_pseudo_precision_std,mean_pseudo_coverage_mean,mean_pseudo_coverage_std,mean_initial_pseudo_precision_mean,mean_initial_pseudo_precision_std,mean_cluster_precision_mean,mean_cluster_precision_std,mean_semantic_precision_mean,mean_semantic_precision_std,mean_sharpness_gap_mean,mean_sharpness_gap_std,mean_flat_width_mean,mean_flat_width_std,mean_projected_gradient_fraction_mean,mean_projected_gradient_fraction_std,mean_parameter_change_mean,mean_parameter_change_std,mean_batch_seconds_mean,mean_batch_seconds_std,total_seconds_mean,total_seconds_std,final_subspace_rank_mean,final_subspace_rank_std
cifar10,5,0.29756,0.00823213216609162,0.3742,0.010476402054140547,0.341039,0.010465519815087981,0.08874000000000001,0.019516992596196776,0.33896857142857145,0.010175299446250327,0.07664,0.008748028349291052,0.309765625,0.01258818987837657,1.0,0.0,0.33542968749999996,0.013651351783525981,0.2736328125,0.010146855631141039,0.27859375000000003,0.010168074546846827,0.6659697843790054,0.11102451660483421,0.10190627383754222,0.01059224644824932,0.6963650886256053,0.02940142165817158,0.01080157552726767,0.00013571852364772198,5.65948759044,0.00898492388883398,120.2212324332,0.20263763371863738,8.0,0.0
mnist,5,0.5894,0.055161172938943195,0.8330400000000001,0.013827978883408793,0.750907,0.025236268939762076,0.05513110347151221,0.028077986533315922,0.7400806408794608,0.027747682922704558,0.2429273650784874,0.05056213204823437,0.7153515625000001,0.030982312971129446,1.0,0.0,0.7430468749999999,0.029440921916624545,0.5693359375,0.02985279844830821,0.578046875,0.029353331020383146,2.899957119345665,0.6059277405313933,0.17524799231944296,0.0173398360576558,0.7384558489817209,0.012387759354145591,0.011135366883121197,0.0005499750646473846,4.63227990257,0.014276017653143775,98.70321820819998,0.3748945372692173,8.0,0.0
svhn,5,0.10553165334972343,0.026642821547933588,0.165880454824831,0.03748947729793631,0.12986555009219422,0.02851623097829265,0.07647223229565843,0.026747288094833233,0.127345275709195,0.02443465199379053,0.05300549316888392,0.01821745978490677,0.13257812500000002,0.022205321985120832,1.0,0.0,0.14,0.023116453498823762,0.128359375,0.020943748338881983,0.1294921875,0.019975418243039996,0.24792971974611283,0.19102097603374568,0.06463795980814169,0.03261261854115775,0.5881438618041288,0.05603476883002006,0.013175536346650285,0.0005781505440721679,12.65477472126,0.11345522476575964,267.3287830918,2.1434225387161923,8.0,0.0
