dataset,method,seed,batch,test_accuracy,generation_loss,pseudo_precision,pseudo_coverage,initial_pseudo_precision,cluster_precision,semantic_precision,classifier_cluster_agreement,semantic_shift,distribution_tv,parameter_change,replay_loss,worst_loss,sharpness_gap,flat_width,projected_gradient_fraction,update_norm,subspace_rank,accepted_count,batch_seconds
cifar10,sdsl_full,3,-1,0.3019,2.052753981947899,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,0,0.0
cifar10,sdsl_full,3,0,0.3239,1.8191218599677086,0.3125,1.0,0.3984375,0.28515625,0.28125,0.66796875,0.1758943498134613,0.0,0.014693849693340484,1.6996401488780974,1.722423255443573,0.022783106565475462,0.021020424872403964,0.41455235044275146,0.0009740642504766584,2,256,5.794533249999999
cifar10,sdsl_full,3,1,0.3145,1.6950185239315032,0.3203125,1.0,0.34765625,0.3125,0.28515625,0.66796875,0.14735974371433258,0.0,0.017015233933117418,1.6621177792549133,1.854040765762329,0.19192298650741577,0.05882268777349964,0.5910121333319318,0.001742738313623704,3,256,5.996469082999999
cifar10,sdsl_full,3,2,0.3203,1.6756269335746765,0.16015625,1.0,0.16015625,0.17578125,0.1796875,0.63671875,0.1453256905078888,0.62109375,0.012723585956837001,1.686301553249359,1.869410914182663,0.18310936093330382,0.05776000274345279,0.6234985494442894,0.0016219699667999522,4,256,6.238125749999998
cifar10,sdsl_full,3,3,0.3209,1.6904576182365418,0.1953125,1.0,0.18359375,0.19921875,0.19921875,0.62890625,0.13908065855503082,0.0,0.013489827194224167,1.6477732598781585,2.189714992046356,0.5419417321681976,0.09763013822957874,0.8130744288490543,0.0019726468744920567,5,256,6.121397124999998
cifar10,sdsl_full,3,4,0.3237,1.6654076635837556,0.23828125,1.0,0.25390625,0.21484375,0.21875,0.703125,0.14608106017112732,0.62109375,0.011671232845307657,1.6146022081375122,2.0019811570644377,0.38737894892692565,0.07753978162072599,0.7956430112630787,0.001546778218471445,6,256,6.106798667
cifar10,sdsl_full,3,5,0.3311,1.633660751581192,0.24609375,1.0,0.25390625,0.27734375,0.23828125,0.62890625,0.18087200820446014,0.0,0.011883073416955695,1.6037459075450897,2.270732116699219,0.666986209154129,0.11183942733332515,0.8643778960849418,0.0019136686983983963,7,256,6.061821875
cifar10,sdsl_full,3,6,0.3294,1.6147935748100282,0.34375,1.0,0.3671875,0.3046875,0.30078125,0.64453125,0.1378987729549408,0.625,0.011306136379658101,1.6024904906749726,2.3129519641399385,0.7104614734649658,0.1105048468336463,0.8343606424944892,0.0017595370882190764,8,256,6.098000458999998
cifar10,sdsl_full,3,7,0.3376,1.6208009898662568,0.296875,1.0,0.39453125,0.22265625,0.21875,0.56640625,0.11203205585479736,0.0,0.01186006960918478,1.594499897956848,2.176112228631973,0.5816123306751251,0.10039264410734176,0.834784493777109,0.0017900105303851888,8,256,6.121585541000002
cifar10,sdsl_full,3,8,0.3389,1.6009043276309967,0.35546875,1.0,0.39453125,0.29296875,0.328125,0.66015625,0.1373320072889328,0.62890625,0.011368093860135308,1.5447287142276764,2.2031410217285154,0.6584123075008392,0.11509632747620344,0.7654750139134502,0.0021824647206813096,8,256,6.139013249999998
