class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.092,0.376,0.027,0.069,0.186,0.4,0.573,0.193,0.634,0.497,-1
0.337,0.502,0.059,0.065,0.26,0.624,0.401,0.143,0.592,0.251,0
0.331,0.293,0.029,0.044,0.218,0.59,0.501,0.111,0.605,0.493,1
0.255,0.376,0.035,0.069,0.152,0.625,0.553,0.124,0.623,0.41,2
0.363,0.493,0.023,0.029,0.252,0.656,0.47,0.081,0.606,0.262,3
0.359,0.411,0.025,0.004,0.242,0.684,0.426,0.105,0.624,0.37,4
0.46,0.31,0.037,0.007,0.214,0.711,0.486,0.086,0.548,0.405,5
0.332,0.297,0.034,0.009,0.304,0.65,0.486,0.103,0.652,0.481,6
0.388,0.393,0.033,0.043,0.276,0.652,0.418,0.157,0.629,0.393,7
0.365,0.343,0.044,0.042,0.321,0.666,0.397,0.151,0.584,0.48,8
0.373,0.35,0.069,0.062,0.262,0.57,0.534,0.163,0.643,0.404,9
0.355,0.424,0.06,0.095,0.175,0.607,0.56,0.203,0.609,0.407,10
0.375,0.57,0.066,0.12,0.234,0.581,0.535,0.221,0.565,0.274,11
0.461,0.569,0.09,0.044,0.342,0.673,0.415,0.201,0.514,0.235,12
0.374,0.681,0.058,0.093,0.346,0.623,0.408,0.243,0.513,0.216,13
0.546,0.381,0.106,0.03,0.423,0.641,0.297,0.166,0.587,0.179,14
0.391,0.459,0.079,0.104,0.234,0.542,0.562,0.303,0.612,0.409,15
0.456,0.445,0.097,0.088,0.338,0.497,0.55,0.284,0.572,0.374,16
0.365,0.508,0.074,0.121,0.269,0.626,0.51,0.225,0.607,0.367,17
0.403,0.491,0.073,0.037,0.278,0.695,0.493,0.301,0.539,0.456,18
0.396,0.461,0.072,0.088,0.283,0.585,0.554,0.329,0.543,0.497,19
