task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.2935,0.113,0.515,0.1325,0.4385,-1
0.2485,0.0995,0.4585,0.248,0.5035,0
0.255,0.0615,0.5155,0.1615,0.5135,1
0.23,0.0695,0.53,0.162,0.529,2
0.3045,0.0655,0.5685,0.115,0.48,3
0.291,0.061,0.588,0.0875,0.503,4
0.3895,0.0765,0.5985,0.0925,0.3795,5
0.298,0.0755,0.562,0.116,0.5085,6
0.3115,0.098,0.5365,0.1305,0.475,7
0.303,0.085,0.5355,0.158,0.51,8
0.2425,0.0775,0.5,0.2645,0.561,9
0.243,0.0915,0.4935,0.2515,0.569,10
0.3335,0.0975,0.4995,0.238,0.519,11
0.3755,0.0835,0.5255,0.241,0.493,12
0.348,0.079,0.523,0.257,0.517,13
0.3525,0.0695,0.5435,0.248,0.523,14
0.316,0.161,0.509,0.1995,0.538,15
0.342,0.129,0.5135,0.2375,0.5135,16
0.382,0.1005,0.5485,0.2175,0.4885,17
0.4415,0.1125,0.5245,0.233,0.471,18
0.4045,0.1115,0.4775,0.3545,0.487,19
