class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.481,0.106,0.159,0.067,0.458,0.572,0.062,0.203,0.36,0.517,-1
0.421,0.076,0.136,0.063,0.31,0.607,0.351,0.145,0.403,0.604,0
0.454,0.056,0.111,0.012,0.469,0.562,0.24,0.083,0.435,0.592,1
0.438,0.022,0.12,0.019,0.453,0.607,0.193,0.131,0.446,0.612,2
0.456,0.153,0.125,0.006,0.477,0.66,0.15,0.08,0.455,0.505,3
0.439,0.143,0.109,0.013,0.503,0.673,0.107,0.068,0.485,0.521,4
0.521,0.258,0.147,0.006,0.549,0.648,0.096,0.089,0.375,0.384,5
0.445,0.151,0.14,0.011,0.48,0.644,0.141,0.091,0.491,0.526,6
0.5,0.123,0.179,0.017,0.505,0.568,0.1,0.161,0.475,0.475,7
0.458,0.148,0.155,0.015,0.439,0.632,0.143,0.173,0.528,0.492,8
0.411,0.074,0.129,0.026,0.429,0.571,0.272,0.257,0.523,0.599,9
0.408,0.078,0.144,0.039,0.443,0.544,0.266,0.237,0.505,0.633,10
0.43,0.237,0.153,0.042,0.47,0.529,0.225,0.251,0.526,0.512,11
0.374,0.377,0.148,0.019,0.423,0.628,0.311,0.171,0.487,0.499,12
0.406,0.29,0.124,0.034,0.457,0.589,0.294,0.22,0.461,0.573,13
0.426,0.279,0.129,0.01,0.409,0.678,0.261,0.235,0.504,0.542,14
0.408,0.224,0.223,0.099,0.388,0.63,0.179,0.22,0.629,0.447,15
0.449,0.235,0.185,0.073,0.43,0.597,0.238,0.237,0.559,0.468,16
0.429,0.335,0.143,0.058,0.48,0.617,0.186,0.249,0.595,0.382,17
0.448,0.435,0.178,0.047,0.423,0.626,0.254,0.212,0.566,0.376,18
0.429,0.38,0.178,0.045,0.389,0.566,0.37,0.339,0.527,0.447,19
