class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.506,0.329,0.032,0.067,0.144,0.773,0.45,0.131,0.406,0.181,-1
0.473,0.389,0.023,0.193,0.265,0.39,0.514,0.159,0.476,0.357,0
0.46,0.244,0.014,0.139,0.073,0.386,0.72,0.149,0.522,0.438,1
0.444,0.302,0.037,0.172,0.06,0.358,0.7,0.154,0.581,0.395,2
0.416,0.325,0.012,0.22,0.01,0.322,0.756,0.149,0.56,0.439,3
0.449,0.434,0.017,0.179,0.009,0.457,0.687,0.179,0.584,0.242,4
0.435,0.403,0.012,0.149,0.006,0.571,0.661,0.15,0.576,0.348,5
0.461,0.365,0.027,0.067,0.006,0.606,0.691,0.174,0.523,0.374,6
0.431,0.46,0.026,0.156,0.011,0.533,0.654,0.23,0.53,0.345,7
0.444,0.497,0.017,0.183,0.04,0.502,0.649,0.24,0.568,0.249,8
0.422,0.459,0.025,0.256,0.084,0.563,0.501,0.246,0.571,0.309,9
0.332,0.349,0.015,0.274,0.129,0.439,0.583,0.28,0.596,0.492,10
0.392,0.393,0.015,0.283,0.266,0.451,0.489,0.214,0.618,0.416,11
0.438,0.352,0.025,0.183,0.354,0.465,0.386,0.333,0.626,0.394,12
0.408,0.394,0.003,0.186,0.394,0.412,0.38,0.339,0.616,0.419,13
0.437,0.382,0.021,0.153,0.419,0.505,0.33,0.348,0.576,0.438,14
0.48,0.306,0.039,0.174,0.41,0.46,0.389,0.336,0.614,0.339,15
0.41,0.457,0.036,0.2,0.362,0.475,0.42,0.31,0.618,0.364,16
0.498,0.414,0.021,0.136,0.45,0.522,0.345,0.36,0.553,0.375,17
0.483,0.373,0.023,0.088,0.446,0.599,0.265,0.427,0.584,0.401,18
0.502,0.491,0.038,0.172,0.461,0.485,0.305,0.356,0.561,0.338,19
