class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.04243119266055046,0.001176701313983134,0.5589298626174982,0.0,0.10463733650416171,0.19043624161073824,0.042488619119878605,0.1986131748390292,0.0036144578313253013,0.0012539184952978057,-1
0.23623853211009174,0.003333987056285546,0.09857797059532418,0.1453851492019431,0.10661910424098296,0.200503355704698,0.28882144663631765,0.014363546310054482,0.08493975903614458,0.06206896551724138,0
0.30103211009174313,0.0007844675426554226,0.0028922631959508315,0.16620402498265094,0.04558065794688863,0.23447986577181207,0.36772888214466365,0.0,0.009036144578313253,0.003134796238244514,1
0.26892201834862384,0.0025495195136301238,0.010604965051819716,0.16342817487855657,0.056282203725723345,0.25419463087248323,0.3829033889731917,0.0,0.01566265060240964,0.0,2
0.2436926605504587,0.015101000196116886,0.03808146541335262,0.22137404580152673,0.11692429647245343,0.24161073825503357,0.3242286292362165,0.001981178801386825,0.005421686746987952,0.0,3
0.24254587155963303,0.011963130025495195,0.013979272113762353,0.18875780707841777,0.0364645263575109,0.33221476510067116,0.34446130500758726,0.0004952947003467063,0.03614457831325301,0.0,4
0.2993119266055046,0.017846636595410866,0.02217401783562304,0.22727272727272727,0.07411811335711455,0.29068791946308725,0.28578654527061204,0.0014858841010401188,0.03855421686746988,0.0,5
0.2448394495412844,0.02745636399293979,0.05856832971800434,0.21721027064538515,0.13832738803012287,0.3410234899328859,0.2564491654021244,0.0,0.03674698795180723,0.0006269592476489029,6
0.26605504587155965,0.05942341635614826,0.08508074234755363,0.2238029146426093,0.16805390408244153,0.28439597315436244,0.25543753161355587,0.0009905894006934125,0.03313253012048193,0.0006269592476489029,7
0.17029816513761467,0.09256717003333988,0.19739696312364424,0.2126995142262318,0.13912009512485138,0.24412751677852348,0.2736469398077896,0.03714710252600297,0.029518072289156625,0.005642633228840125,8
0.20126146788990826,0.15983526181604235,0.1470233791275006,0.20610687022900764,0.1395164486722156,0.2701342281879195,0.26100151745068284,0.0237741456166419,0.054819277108433734,0.0025078369905956114,9
0.15137614678899083,0.09295940380466758,0.16847433116413593,0.24115197779319916,0.1490289338089576,0.31333892617449666,0.22812341932220537,0.04011887072808321,0.035542168674698796,0.0025078369905956114,10
0.21788990825688073,0.07491665032359286,0.24198602072788625,0.22866065232477445,0.14982164090368608,0.2424496644295302,0.22508851795649976,0.07429420505200594,0.03132530120481928,0.018808777429467086,11
0.20756880733944955,0.15905079427338695,0.2588575560375994,0.17002081887578072,0.14466904478795084,0.29320469798657717,0.21952453211937278,0.06636948984645864,0.01746987951807229,0.021316614420062698,12
0.20928899082568808,0.12414198862522063,0.2653651482284888,0.17244968771686328,0.1086008719778042,0.2688758389261745,0.2175012645422357,0.1267954432887568,0.06445783132530121,0.006269592476489028,13
0.12213302752293578,0.22082761325750147,0.2701855868884068,0.1582234559333796,0.13277843836702338,0.34354026845637586,0.19221041982802226,0.1406636948984646,0.05,0.005015673981191223,14
0.1926605504587156,0.1814081192390665,0.17160761629308266,0.22866065232477445,0.09235037653587,0.34395973154362414,0.19221041982802226,0.158494304110946,0.07349397590361446,0.030721003134796237,15
0.15940366972477063,0.3449696018827221,0.4191371414798747,0.12387231089521165,0.19659135949266746,0.2294463087248322,0.13302984319676278,0.14512134720158495,0.03674698795180723,0.02821316614420063,16
0.1834862385321101,0.1578740929594038,0.294528802120993,0.23525329632199862,0.14070550931430836,0.2575503355704698,0.19170460293373798,0.11391778107974244,0.05903614457831325,0.05203761755485893,17
0.20126146788990826,0.28378113355559914,0.3475536273800916,0.15301873698820265,0.18906064209274673,0.18959731543624161,0.17501264542235712,0.1347201584943041,0.05602409638554217,0.064576802507837,18
0.21100917431192662,0.34261619925475584,0.29019040732706675,0.13705759888965996,0.18747522790328974,0.22273489932885907,0.1800708143651998,0.16790490341753342,0.10662650602409639,0.06583072100313479,19
