task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.4175,0.0495,0.4585,0.2905,0.2935,-1
0.431,0.108,0.3275,0.3365,0.4165,0
0.352,0.0765,0.2295,0.4345,0.48,1
0.373,0.1045,0.209,0.427,0.488,2
0.3705,0.116,0.166,0.4525,0.4995,3
0.4415,0.098,0.233,0.433,0.413,4
0.419,0.0805,0.2885,0.4055,0.462,5
0.413,0.047,0.306,0.4325,0.4485,6
0.4455,0.091,0.272,0.442,0.4375,7
0.4705,0.1,0.271,0.4445,0.4085,8
0.4405,0.1405,0.3235,0.3735,0.44,9
0.3405,0.1445,0.284,0.4315,0.544,10
0.3925,0.149,0.3585,0.3515,0.517,11
0.395,0.104,0.4095,0.3595,0.51,12
0.401,0.0945,0.403,0.3595,0.5175,13
0.4095,0.087,0.462,0.339,0.507,14
0.393,0.1065,0.435,0.3625,0.4765,15
0.4335,0.118,0.4185,0.365,0.491,16
0.456,0.0785,0.486,0.3525,0.464,17
0.428,0.0555,0.5225,0.346,0.4925,18
0.4965,0.105,0.473,0.3305,0.4495,19
