task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.234,0.048,0.293,0.383,0.5655,-1
0.4195,0.062,0.442,0.272,0.4215,0
0.312,0.0365,0.404,0.306,0.549,1
0.3155,0.052,0.3885,0.3385,0.5165,2
0.428,0.026,0.454,0.2755,0.434,3
0.385,0.0145,0.463,0.2655,0.497,4
0.385,0.022,0.4625,0.286,0.4765,5
0.3145,0.0215,0.477,0.2945,0.5665,6
0.3905,0.038,0.464,0.2875,0.511,7
0.354,0.043,0.4935,0.274,0.532,8
0.3615,0.0655,0.416,0.3485,0.5235,9
0.3895,0.0775,0.391,0.3815,0.508,10
0.4725,0.093,0.4075,0.378,0.4195,11
0.515,0.067,0.5075,0.308,0.3745,12
0.5275,0.0755,0.4845,0.3255,0.3645,13
0.4635,0.068,0.532,0.2315,0.383,14
0.425,0.0915,0.388,0.4325,0.5105,15
0.4505,0.0925,0.4175,0.417,0.473,16
0.4365,0.0975,0.4475,0.3675,0.487,17
0.447,0.055,0.4865,0.397,0.4975,18
0.4285,0.08,0.434,0.4415,0.52,19
