class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,batch
0.358,0.413,0.0,0.157,0.017,0.69,0.583,0.054,0.308,0.255,-1
0.429,0.495,0.023,0.101,0.018,0.359,0.706,0.227,0.488,0.205,0
0.35,0.579,0.012,0.138,0.005,0.392,0.671,0.232,0.586,0.13,1
0.297,0.593,0.017,0.079,0.003,0.465,0.664,0.266,0.631,0.104,2
0.329,0.485,0.006,0.06,0.0,0.536,0.728,0.145,0.592,0.235,3
0.42,0.557,0.018,0.017,0.0,0.56,0.704,0.159,0.526,0.174,4
0.312,0.65,0.009,0.019,0.0,0.597,0.677,0.192,0.533,0.184,5
0.435,0.573,0.022,0.022,0.0,0.613,0.63,0.163,0.543,0.21,6
0.392,0.601,0.025,0.027,0.0,0.574,0.643,0.232,0.553,0.208,7
0.399,0.498,0.014,0.035,0.0,0.654,0.601,0.229,0.564,0.318,8
0.381,0.61,0.034,0.102,0.004,0.49,0.659,0.332,0.568,0.136,9
0.434,0.594,0.069,0.052,0.005,0.645,0.546,0.268,0.519,0.15,10
0.421,0.522,0.043,0.03,0.001,0.57,0.621,0.332,0.551,0.309,11
0.365,0.629,0.044,0.019,0.0,0.625,0.608,0.29,0.564,0.243,12
0.418,0.399,0.043,0.017,0.0,0.653,0.636,0.23,0.613,0.42,13
0.417,0.454,0.069,0.009,0.0,0.695,0.568,0.247,0.589,0.431,14
0.528,0.346,0.088,0.044,0.002,0.657,0.622,0.285,0.475,0.345,15
0.415,0.334,0.05,0.028,0.001,0.529,0.54,0.527,0.552,0.579,16
0.41,0.35,0.038,0.016,0.001,0.542,0.587,0.507,0.524,0.59,17
0.474,0.323,0.115,0.002,0.0,0.523,0.646,0.436,0.591,0.459,18
0.417,0.418,0.114,0.035,0.001,0.58,0.561,0.431,0.608,0.469,19
