task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.01169077889814409,0.32982506044659365,0.1463215814143061,0.12137137137137137,0.002457757296466974,-1
0.06269180184129768,0.11776418717109942,0.15223150601181984,0.15015015015015015,0.07373271889400922,0
0.0773052754639778,0.06983359408334519,0.1373547992663542,0.18193193193193194,0.006144393241167435,1
0.07043694286131813,0.07324704878395677,0.1524352965151824,0.18943943943943944,0.007987711213517665,2
0.07335963758585416,0.11321291423695065,0.17750152842877523,0.1614114114114114,0.0027649769585253456,3
0.07072921233377173,0.08562082207367373,0.18015080497248828,0.17067067067067068,0.018433179723502304,4
0.08958059330702908,0.10624377755653534,0.17933564295903812,0.14214214214214213,0.01966205837173579,5
0.08285839544059623,0.12359550561797752,0.23680456490727533,0.12687687687687688,0.01904761904761905,6
0.11208534268595645,0.14194282463376476,0.22457713470552274,0.12687687687687688,0.017204301075268817,7
0.11237761215841005,0.20366946380315745,0.1901365396372529,0.15415415415415415,0.017818740399385562,8
0.17039310244045008,0.17124164414734747,0.20297534134909312,0.14114114114114115,0.029185867895545316,9
0.10784743533537922,0.19826482719385577,0.22885673527613612,0.13313313313313313,0.01935483870967742,10
0.11135466900482245,0.23652396529654388,0.1948237212145914,0.1488988988988989,0.025192012288786484,11
0.1714160455940377,0.22244346465652112,0.21683309557774608,0.14214214214214213,0.01935483870967742,12
0.1458424667543475,0.22727919214905418,0.18646831057672714,0.17167167167167166,0.035944700460829496,13
0.1956744118076867,0.22429241928601906,0.23517424088037497,0.16616616616616617,0.02795698924731183,14
0.1842759023819962,0.19499359977243635,0.2145914000407581,0.17517517517517517,0.052534562211981564,15
0.29767645769399387,0.29810837718674443,0.21255349500713266,0.13913913913913914,0.0325652841781874,16
0.16440157825515125,0.2702318304650832,0.19747299775830446,0.1524024024024024,0.05560675883256529,17
0.2627502557357884,0.2678139667188167,0.18932137762380274,0.15465465465465467,0.060215053763440864,18
0.30907496711968435,0.22742141942824634,0.20460566537599348,0.17392392392392392,0.08663594470046083,19
