task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy,batch
0.1737542013736665,0.012942682406485564,0.11025066231913593,0.04454454454454455,0.21474654377880184,-1
0.10901651322519362,0.09358554970843408,0.10617485225188507,0.19444444444444445,0.08202764976958525,0
0.12494519947391496,0.08306073104821504,0.046668025270022416,0.22872872872872874,0.034408602150537634,1
0.0917726143504311,0.08647418574882662,0.05543101691461178,0.25925925925925924,0.03748079877112135,2
0.06853719129036973,0.10211918645996303,0.10576727124515997,0.20995995995995995,0.041474654377880185,3
0.054946660821277214,0.10979945953633907,0.07132667617689016,0.2527527527527528,0.04546850998463902,4
0.08052023966096741,0.11065282321149196,0.0790707153046668,0.23698698698698697,0.04608294930875576,5
0.10170977641385358,0.11022614137391552,0.10739759527206032,0.1871871871871872,0.04976958525345622,6
0.09367236592137951,0.13312473332385152,0.08864886896270634,0.17617617617617617,0.05161290322580645,7
0.17696916557065615,0.11420850519129569,0.06949256164662727,0.16741741741741742,0.029185867895545316,8
0.13415168785620343,0.12231546010524819,0.08559201141226819,0.2147147147147147,0.02119815668202765,9
0.1328364752301622,0.10780827762764898,0.09109435500305686,0.23223223223223224,0.03287250384024577,10
0.13546690048224463,0.10027023183046509,0.10026492765437131,0.22872872872872874,0.039938556067588324,11
0.13429782259243023,0.10709714123168823,0.10474831872834726,0.20745745745745744,0.047311827956989246,12
0.17974572555896537,0.10041245910965724,0.08335031587528022,0.21646646646646647,0.05683563748079877,13
0.19289785181937746,0.09301664059166548,0.11289993886284899,0.2012012012012012,0.059907834101382486,14
0.2381996200496858,0.08106954913952497,0.12308946403097616,0.21646646646646647,0.03901689708141321,15
0.2592430220663452,0.08448300384013654,0.11188098634603627,0.20195195195195195,0.05745007680491551,16
0.19406692970919187,0.09685677712985351,0.14795190544120643,0.22772772772772773,0.047311827956989246,17
0.16498611720005846,0.10866164130280188,0.1599755451395965,0.23823823823823823,0.05161290322580645,18
0.2545667105070875,0.10027023183046509,0.15916038312614633,0.2575075075075075,0.0162826420890937,19
