dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
mnist,-1,offline,0,0.2297,,,0,0,0.0,,,,0,0.0,common_initial_model
mnist,2,offline,0,0.2057,,,1256,0,,,,2.1860785126686095,0,0.20893579100000004,oracle_joint_all_stream_labels
