dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
cifar10,-1,offline,0,0.2982,,,0,0,0.0,,,,0,0.0,common_initial_model
cifar10,20,offline,0,0.4542,,,6120,0,,,,1.6901694829265277,0,5.777020833,oracle_joint_all_stream_labels
