batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.7607565011820331,0.6542605288932419,0.23692636072572038,0.5508559919436052,0.7448310640443772
0,0.6212765957446809,0.30852105778648387,0.027214514407684097,0.29154078549848944,0.09379727685325265
1,0.5366430260047281,0.002448579823702253,0.0016008537886872999,0.0010070493454179255,0.0
2,0.5366430260047281,0.0,0.0,0.0,0.0
3,0.5366430260047281,0.0,0.0,0.0,0.0
4,0.5366430260047281,0.0,0.0,0.0,0.0
5,0.5366430260047281,0.0,0.0,0.0,0.0
6,0.5366430260047281,0.0,0.0,0.0,0.0
7,0.5366430260047281,0.0,0.0,0.0,0.0
8,0.5366430260047281,0.0,0.0,0.0,0.0
9,0.5366430260047281,0.0,0.0,0.0,0.0
10,0.5366430260047281,0.0,0.0,0.0,0.0
11,0.5366430260047281,0.0,0.0,0.0,0.0
12,0.5366430260047281,0.0,0.0,0.0,0.0
13,0.5366430260047281,0.0,0.0,0.0,0.0
14,0.5366430260047281,0.0,0.0,0.0,0.0
15,0.5366430260047281,0.0,0.0,0.0,0.0
16,0.5366430260047281,0.0,0.0,0.0,0.0
17,0.5366430260047281,0.0,0.0,0.0,0.0
18,0.5366430260047281,0.0,0.0,0.0,0.0
19,0.5366430260047281,0.0,0.0,0.0,0.0
