batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.4215,0.146,0.3745,0.2445,0.377
0,0.4215,0.146,0.3745,0.2445,0.377
1,0.4215,0.146,0.3745,0.2445,0.377
2,0.4215,0.146,0.3745,0.2445,0.377
3,0.4215,0.146,0.3745,0.2445,0.377
4,0.4215,0.146,0.3745,0.2445,0.377
5,0.4215,0.146,0.3745,0.2445,0.377
6,0.4215,0.146,0.3745,0.2445,0.377
7,0.4215,0.146,0.3745,0.2445,0.377
8,0.4215,0.146,0.3745,0.2445,0.377
9,0.4215,0.146,0.3745,0.2445,0.377
10,0.4215,0.146,0.3745,0.2445,0.377
11,0.4215,0.146,0.3745,0.2445,0.377
12,0.4215,0.146,0.3745,0.2445,0.377
13,0.4215,0.146,0.3745,0.2445,0.377
14,0.4215,0.146,0.3745,0.2445,0.377
15,0.4215,0.146,0.3745,0.2445,0.377
16,0.4215,0.146,0.3745,0.2445,0.377
17,0.4215,0.146,0.3745,0.2445,0.377
18,0.4215,0.146,0.3745,0.2445,0.377
19,0.4215,0.146,0.3745,0.2445,0.377
