dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
mnist,-1,replay,2,0.4838,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
mnist,0,replay,2,0.6018,1.0,0.00390625,1,255,0.9103387594223022,0.0,0.2736975595355034,0.008544040007869135,0.11399610340595245,1,0,1,3.809777166000001
mnist,1,replay,2,0.17,1.0,0.265625,68,188,0.9543642997741699,0.0,0.9897946566343307,0.018285322623447644,0.024806802161037922,69,0,69,3.873431041
mnist,2,replay,2,0.1157,0.36000001430511475,0.09765625,25,231,0.9682205319404602,0.62109375,1.1907488793134688,0.00936905685876669,0.013306399807333946,94,0,94,3.6445574580000013
mnist,3,replay,2,0.1135,0.11764705926179886,0.33203125,85,171,0.9677454233169556,0.0,1.2782543629407883,0.016851590786809856,0.01020054318360053,179,0,179,3.6865541250000007
mnist,4,replay,2,0.1135,0.0390625,1.0,256,0,0.9952656030654907,0.62109375,1.2890012383460998,0.017373294683526753,0.0022684131593753896,435,0,435,3.588442666999999
mnist,5,replay,2,0.1135,0.0390625,1.0,256,0,0.9993995428085327,0.0,1.291904217004776,0.010063358507231742,0.0005363367478518436,691,0,691,3.584138666000001
mnist,6,replay,2,0.1135,0.0390625,1.0,256,0,0.9996509552001953,0.625,1.293597263097763,0.005939558803540514,0.0003931750834453851,947,0,947,3.5902982499999965
mnist,7,replay,2,0.1135,0.0390625,1.0,256,0,0.9997464418411255,0.0,1.2944491118192674,0.003611835124211578,0.00028019822396648425,1000,185,1203,3.583129042000003
mnist,8,replay,2,0.1135,0.0390625,1.0,256,0,0.9998135566711426,0.62890625,1.2950175255537033,0.002281924929355356,0.00021996894550587362,1000,191,1459,3.5930607499999994
mnist,9,replay,2,0.1135,0.0390625,1.0,256,0,0.9998395442962646,0.0,1.2952577322721481,0.0015319755341778546,0.00019219982398984334,1000,164,1715,3.585607207999999
mnist,10,replay,2,0.1135,0.0390625,1.0,256,0,0.9998522996902466,0.62890625,1.2953242242336274,0.0011445249221558797,0.0001761892854119651,1000,140,1971,3.594757332999997
mnist,11,replay,2,0.1135,0.34765625,1.0,256,0,0.9998598694801331,0.62109375,1.29535271525383,0.0009467383079792348,0.00016961665824055672,1000,112,2227,3.5929222910000007
mnist,12,replay,2,0.1135,0.0390625,1.0,256,0,0.9998707175254822,0.62109375,1.2955433517694472,0.0008276319572348089,0.00015319784870371222,1000,115,2483,3.570789834000003
mnist,13,replay,2,0.1135,0.0390625,1.0,256,0,0.9998779296875,0.625,1.2955267965793609,0.0007675993114388144,0.0001452428926616752,1000,96,2739,3.5796350419999996
mnist,14,replay,2,0.1135,0.0390625,1.0,256,0,0.9998905062675476,0.625,1.2957436323165894,0.0007443931098318638,0.00014781912614125758,1000,81,2995,3.5830965410000033
mnist,15,replay,2,0.1135,0.3515625,1.0,256,0,0.9998871684074402,0.625,1.2955783635377884,0.0007353553997132184,0.00014210973070779195,1000,81,3251,3.597907291999995
mnist,16,replay,2,0.1135,0.0390625,1.0,256,0,0.999901533126831,0.625,1.2956709206104278,0.0007075286437115925,0.00012693035508467196,1000,80,3507,3.588031916999995
mnist,17,replay,2,0.1135,0.0390625,1.0,256,0,0.9999086260795593,0.62109375,1.295883196592331,0.000676594892214188,0.00012139396615869676,1000,66,3763,3.5925798749999984
mnist,18,replay,2,0.1135,0.0390625,1.0,256,0,0.9999116659164429,0.625,1.2955793917179108,0.0006583374051920873,0.00010944034390073891,1000,67,4019,3.5933502500000003
mnist,19,replay,2,0.1135,0.0390625,1.0,256,0,0.9999107122421265,0.62890625,1.2957303673028946,0.0006352633685332428,0.00010617593458543222,1000,58,4275,3.5893486249999995
