batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.7607565011820331,0.6542605288932419,0.23692636072572038,0.5508559919436052,0.7448310640443772
0,0.7148936170212766,0.48726738491674826,0.20811099252934898,0.5584088620342397,0.4059505799293999
1,0.5418439716312057,0.07590597453476983,0.0010672358591248667,0.06042296072507553,0.0045385779122541605
2,0.5361702127659574,0.0039177277179236044,0.0021344717182497333,0.003524672708962739,0.0
3,0.5366430260047281,0.0,0.0,0.0,0.0
4,0.5366430260047281,0.0,0.0,0.0,0.0
5,0.5366430260047281,0.0,0.0,0.0,0.0
6,0.5366430260047281,0.0,0.0,0.0,0.0
7,0.5366430260047281,0.0,0.0,0.0,0.0
8,0.5366430260047281,0.0,0.0,0.0,0.0
9,0.5366430260047281,0.0,0.0,0.0,0.0
10,0.5366430260047281,0.0,0.0,0.0,0.0
11,0.5366430260047281,0.0,0.0,0.0,0.0
12,0.5366430260047281,0.0,0.0,0.0,0.0
13,0.5366430260047281,0.0,0.0,0.0,0.0
14,0.5366430260047281,0.0,0.0,0.0,0.0
15,0.5366430260047281,0.0,0.0,0.0,0.0
16,0.5366430260047281,0.0,0.0,0.0,0.0
17,0.5366430260047281,0.0,0.0,0.0,0.0
18,0.5366430260047281,0.0,0.0,0.0,0.0
19,0.5366430260047281,0.0,0.0,0.0,0.0
