dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
mnist,-1,offline,4,0.5533,,,0,0,0.0,,,,0,0.0,common_initial_model
mnist,20,offline,4,0.9147,,,6120,0,,,,0.7472049701338013,0,4.774644584000001,oracle_joint_all_stream_labels
