batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
20,0.661,0.2,0.493,0.246,0.106,0.395,0.539,0.678,0.459,0.721
