dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
svhn,-1,replay,0,0.1466656422864167,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
svhn,0,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.18413534872233867,0.0,,0,0,0,11.213290874999998
svhn,1,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.1588934324681759,0.0,,0,0,0,11.196045207999997
svhn,2,replay,0,0.1466656422864167,,0.0,0,256,,0.62109375,0.2054828092455864,0.0,,0,0,0,11.173423374999999
svhn,3,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.16701410934329033,0.0,,0,0,0,11.164044291000003
svhn,4,replay,0,0.1466656422864167,,0.0,0,256,,0.62109375,0.20133149698376657,0.0,,0,0,0,11.160832542000001
svhn,5,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.21415446512401104,0.0,,0,0,0,11.220944541000009
svhn,6,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.195972878113389,0.0,,0,0,0,11.181208249999997
svhn,7,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.1807103745639324,0.0,,0,0,0,11.174211499999998
svhn,8,replay,0,0.1466656422864167,,0.0,0,256,,0.62890625,0.16399128027260304,0.0,,0,0,0,11.206077958999998
svhn,9,replay,0,0.1466656422864167,,0.0,0,256,,0.0,0.17855205610394478,0.0,,0,0,0,11.194995249999991
svhn,10,replay,0,0.1466656422864167,,0.0,0,256,,0.62890625,0.18495470210909842,0.0,,0,0,0,11.172629124999986
svhn,11,replay,0,0.1466656422864167,,0.0,0,256,,0.62109375,0.1461406022310257,0.0,,0,0,0,11.202804209000021
svhn,12,replay,0,0.1466656422864167,,0.0,0,256,,0.62109375,0.22293132394552231,0.0,,0,0,0,11.183831833
svhn,13,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.18844543918967246,0.0,,0,0,0,11.183507375000005
svhn,14,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.16065041795372964,0.0,,0,0,0,11.165171333999979
svhn,15,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.15843725055456162,0.0,,0,0,0,11.167241832999991
svhn,16,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.19457934573292732,0.0,,0,0,0,11.166339041000015
svhn,17,replay,0,0.1466656422864167,,0.0,0,256,,0.62109375,0.19796075001358987,0.0,,0,0,0,11.237103458000007
svhn,18,replay,0,0.1466656422864167,,0.0,0,256,,0.625,0.1732658099383116,0.0,,0,0,0,11.211783832999998
svhn,19,replay,0,0.1466656422864167,,0.0,0,256,,0.62890625,0.18073244094848634,0.0,,0,0,0,11.170914082999985
