batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.4215,0.146,0.3745,0.2445,0.377
20,0.3935,0.2495,0.4085,0.5405,0.635
