dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
cifar10,-1,offline,2,0.3127,,,0,0,0.0,,,,0,0.0,common_initial_model
cifar10,20,offline,2,0.4454,,,6120,0,,,,1.6871043297151724,0,5.798403500000001,oracle_joint_all_stream_labels
