dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
svhn,-1,offline,2,0.12088967424708051,,,0,0,0.0,,,,0,0.0,common_initial_model
svhn,20,offline,2,0.4293177627535341,,,6120,0,,,,2.1322305999696254,0,5.722523041999999,oracle_joint_all_stream_labels
