dataset,batch,dominant_classes,total_variation_from_previous,class_0_proportion,class_1_proportion,class_2_proportion,class_3_proportion,class_4_proportion,class_5_proportion,class_6_proportion,class_7_proportion,class_8_proportion,class_9_proportion
mnist,0,"0,1",0.0,0.3515625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03125,0.03125
mnist,1,"0,1",0.0,0.3515625,0.3515625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.03125,0.03125
