batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
0,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
1,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
2,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
3,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
4,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
5,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
6,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
7,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
8,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
9,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
10,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
11,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
12,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
13,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
14,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
15,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
16,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
17,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
18,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
19,0.33,0.513,0.125,0.167,0.236,0.513,0.382,0.107,0.65,0.104
