dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
svhn,-1,offline,3,0.08408881376767056,,,0,0,0.0,,,,0,0.0,common_initial_model
svhn,20,offline,3,0.3819913952059004,,,6120,0,,,,2.162835816293955,0,5.725453583,oracle_joint_all_stream_labels
