batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
0,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
1,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
2,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
3,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
4,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
5,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
6,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
7,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
8,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
9,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
10,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
11,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
12,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
13,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
14,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
15,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
16,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
17,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
18,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
19,0.05377758293146281,0.002702318304650832,0.17994701446912573,0.2087087087087087,0.026113671274961597
