dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,naive,3,0.2781,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,naive,3,0.2781,,0.0,0,256,,0.0,0.16428642012178898,0.0,,0,0,0,4.514150958
cifar10,1,naive,3,0.2781,,0.0,0,256,,0.0,0.21299706548452377,0.0,,0,0,0,4.493883874999998
cifar10,2,naive,3,0.2781,,0.0,0,256,,0.62109375,0.160433641821146,0.0,,0,0,0,4.505748457999999
cifar10,3,naive,3,0.2781,,0.0,0,256,,0.0,0.12195439338684082,0.0,,0,0,0,4.500267083999997
cifar10,4,naive,3,0.2781,,0.0,0,256,,0.62109375,0.19578613266348838,0.0,,0,0,0,4.500995042
cifar10,5,naive,3,0.2781,,0.0,0,256,,0.0,0.14643994122743606,0.0,,0,0,0,4.497615833000005
cifar10,6,naive,3,0.2781,,0.0,0,256,,0.625,0.13820017576217652,0.0,,0,0,0,4.502764667000001
cifar10,7,naive,3,0.2781,,0.0,0,256,,0.0,0.2919375292956829,0.0,,0,0,0,4.4992688749999985
cifar10,8,naive,3,0.2781,,0.0,0,256,,0.62890625,0.2136795736849308,0.0,,0,0,0,4.500169833000001
cifar10,9,naive,3,0.2781,,0.0,0,256,,0.0,0.19590588808059692,0.0,,0,0,0,4.499381374999999
cifar10,10,naive,3,0.2781,,0.0,0,256,,0.62890625,0.20294023305177689,0.0,,0,0,0,4.502309208999996
cifar10,11,naive,3,0.2781,,0.0,0,256,,0.62109375,0.19951351210474969,0.0,,0,0,0,4.4798138330000015
cifar10,12,naive,3,0.2781,,0.0,0,256,,0.62109375,0.19395818710327148,0.0,,0,0,0,4.505627292
cifar10,13,naive,3,0.2781,,0.0,0,256,,0.625,0.1492316484451294,0.0,,0,0,0,4.522206166999993
cifar10,14,naive,3,0.2781,,0.0,0,256,,0.625,0.22435271590948105,0.0,,0,0,0,4.490125208999999
cifar10,15,naive,3,0.2781,,0.0,0,256,,0.625,0.15942986980080603,0.0,,0,0,0,4.4980032499999965
cifar10,16,naive,3,0.2781,,0.0,0,256,,0.625,0.1901068404316902,0.0,,0,0,0,4.497072582999991
cifar10,17,naive,3,0.2781,,0.0,0,256,,0.62109375,0.16102832406759263,0.0,,0,0,0,4.504727499999987
cifar10,18,naive,3,0.2781,,0.0,0,256,,0.625,0.19898617044091224,0.0,,0,0,0,4.482420457999993
cifar10,19,naive,3,0.2781,,0.0,0,256,,0.62890625,0.15578001067042352,0.0,,0,0,0,4.500510333999998
