dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,mean_accepted_confidence,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced,buffer_total_seen,batch_seconds
cifar10,-1,naive,4,0.3122,,,0,0,,0.0,0.0,0.0,,0,0,0,0.0
cifar10,0,naive,4,0.3122,,0.0,0,256,,0.0,0.160933668166399,0.0,,0,0,0,4.506491292
cifar10,1,naive,4,0.3122,,0.0,0,256,,0.0,0.12957102283835412,0.0,,0,0,0,4.489298582999998
cifar10,2,naive,4,0.3122,,0.0,0,256,,0.62109375,0.1820669263601303,0.0,,0,0,0,4.612814333999999
cifar10,3,naive,4,0.3122,,0.0,0,256,,0.0,0.15720309987664222,0.0,,0,0,0,4.51640025
cifar10,4,naive,4,0.3122,,0.0,0,256,,0.62109375,0.14997461326420308,0.0,,0,0,0,4.5002848329999985
cifar10,5,naive,4,0.3122,,0.0,0,256,,0.0,0.11889707371592521,0.0,,0,0,0,4.496807042
cifar10,6,naive,4,0.3122,,0.0,0,256,,0.625,0.15858875177800655,0.0,,0,0,0,4.482714334000001
cifar10,7,naive,4,0.3122,,0.0,0,256,,0.0,0.19378958083689213,0.0,,0,0,0,4.468966541999997
cifar10,8,naive,4,0.3122,,0.0,0,256,,0.62890625,0.19411627519875765,0.0,,0,0,0,4.433575249999997
cifar10,9,naive,4,0.3122,,0.0,0,256,,0.0,0.17227391973137857,0.0,,0,0,0,4.484725666999999
cifar10,10,naive,4,0.3122,,0.0,0,256,,0.62890625,0.12124403193593025,0.0,,0,0,0,4.4986147499999944
cifar10,11,naive,4,0.3122,,0.0,0,256,,0.62109375,0.15310892835259438,0.0,,0,0,0,4.497641250000001
cifar10,12,naive,4,0.3122,,0.0,0,256,,0.62109375,0.154951623827219,0.0,,0,0,0,4.485398333999996
cifar10,13,naive,4,0.3122,,0.0,0,256,,0.625,0.13538236431777478,0.0,,0,0,0,4.483568000000005
cifar10,14,naive,4,0.3122,,0.0,0,256,,0.625,0.10618392303586006,0.0,,0,0,0,4.500044833000004
cifar10,15,naive,4,0.3122,,0.0,0,256,,0.625,0.16350926831364632,0.0,,0,0,0,4.4658113340000085
cifar10,16,naive,4,0.3122,,0.0,0,256,,0.625,0.16536805108189584,0.0,,0,0,0,4.40721516699999
cifar10,17,naive,4,0.3122,,0.0,0,256,,0.62109375,0.17442561984062194,0.0,,0,0,0,4.277927292000001
cifar10,18,naive,4,0.3122,,0.0,0,256,,0.625,0.16310453675687314,0.0,,0,0,0,4.260792709
cifar10,19,naive,4,0.3122,,0.0,0,256,,0.62890625,0.1437682405114174,0.0,,0,0,0,4.320592208000008
