dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
cifar10,-1,offline,3,0.2781,,,0,0,0.0,,,,0,0.0,common_initial_model
cifar10,20,offline,3,0.4894,,,6120,0,,,,1.6977880780895551,0,6.257698083999999,oracle_joint_all_stream_labels
