batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
0,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
1,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
2,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
3,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
4,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
5,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
6,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
7,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
8,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
9,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
10,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
11,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
12,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
13,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
14,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
15,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
16,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
17,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
18,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
19,0.15665643723513079,0.007253591238799602,0.013653963725290402,0.04704704704704705,0.24423963133640553
