dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
cifar10,-1,offline,4,0.3122,,,0,0,0.0,,,,0,0.0,common_initial_model
cifar10,20,offline,4,0.4498,,,6120,0,,,,1.7000804580748081,0,6.183656292,oracle_joint_all_stream_labels
