dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
svhn,-1,offline,4,0.1272280270436386,,,0,0,0.0,,,,0,0.0,common_initial_model
svhn,20,offline,4,0.3913260602335587,,,6120,0,,,,2.1225135440627736,0,5.7140207919999995,oracle_joint_all_stream_labels
