batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
0,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
1,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
2,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
3,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
4,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
5,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
6,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
7,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
8,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
9,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
10,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
11,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
12,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
13,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
14,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
15,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
16,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
17,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
18,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
19,0.09732573432704954,0.22955482861612858,0.005706134094151213,0.22922922922922923,0.027035330261136713
