batch,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy
-1,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
0,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
1,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
2,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
3,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
4,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
5,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
6,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
7,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
8,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
9,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
10,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
11,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
12,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
13,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
14,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
15,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
16,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
17,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
18,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
19,0.357,0.374,0.058,0.006,0.239,0.158,0.49,0.422,0.486,0.532
