batch,task_0_accuracy,task_1_accuracy,task_2_accuracy,task_3_accuracy,task_4_accuracy
-1,0.468,0.1145,0.174,0.2695,0.3645
0,0.468,0.1145,0.174,0.2695,0.3645
1,0.468,0.1145,0.174,0.2695,0.3645
2,0.468,0.1145,0.174,0.2695,0.3645
3,0.468,0.1145,0.174,0.2695,0.3645
4,0.468,0.1145,0.174,0.2695,0.3645
5,0.468,0.1145,0.174,0.2695,0.3645
6,0.468,0.1145,0.174,0.2695,0.3645
7,0.468,0.1145,0.174,0.2695,0.3645
8,0.468,0.1145,0.174,0.2695,0.3645
9,0.468,0.1145,0.174,0.2695,0.3645
10,0.468,0.1145,0.174,0.2695,0.3645
11,0.468,0.1145,0.174,0.2695,0.3645
12,0.468,0.1145,0.174,0.2695,0.3645
13,0.468,0.1145,0.174,0.2695,0.3645
14,0.468,0.1145,0.174,0.2695,0.3645
15,0.468,0.1145,0.174,0.2695,0.3645
16,0.468,0.1145,0.174,0.2695,0.3645
17,0.468,0.1145,0.174,0.2695,0.3645
18,0.468,0.1145,0.174,0.2695,0.3645
19,0.468,0.1145,0.174,0.2695,0.3645
