dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
mnist,-1,offline,3,0.6648,,,0,0,0.0,,,,0,0.0,common_initial_model
mnist,20,offline,3,0.946,,,6120,0,,,,0.6937213448807598,0,4.765224583,oracle_joint_all_stream_labels
