dataset,batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,accepted_count,rejected_count,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,batch_seconds,evaluation_scope
mnist,-1,offline,2,0.4838,,,0,0,0.0,,,,0,0.0,common_initial_model
mnist,20,offline,2,0.9308,,,6120,0,,,,0.7259638055693358,0,4.772776499999999,oracle_joint_all_stream_labels
