method,seed,mean_accuracy,final_accuracy,mean_precision,mean_coverage,mean_drift,mean_parameter_change
centroid_ewc,0,0.9291,0.9291,,0.0,0.11893267580308016,0.0
centroid_ewc,1,0.9355,0.9355,,0.0,0.11759929784573611,0.0
