batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,naive,1,0.9355,,,,0.0,0.0,0.0,,0,0
0,naive,1,0.9216,0.982300877571106,0.8828125,,0.0,0.17790421098470688,0.02217649826030549,0.031915255822241306,0,0
1,naive,1,0.9132,0.9908257126808167,0.8515625,,0.0,0.2139872282743454,0.0170158178950561,0.029109831200912595,0,0
2,naive,1,0.913,0.9567567706108093,0.72265625,,0.62109375,0.2630090147256851,0.011869985449474393,0.04386639346679052,0,0
3,naive,1,0.9153,0.9710144996643066,0.80859375,,0.0,0.2884246945381165,0.01670479398316195,0.02489930158481002,0,0
4,naive,1,0.9087,0.9758453965187073,0.80859375,,0.62109375,0.35087614953517915,0.020200860457182855,0.05019991286098957,0,0
5,naive,1,0.8865,0.9860464930534363,0.83984375,,0.0,0.3769374698400497,0.020653369879754992,0.02021621773019433,0,0
6,naive,1,0.8754,0.9742268323898315,0.7578125,,0.625,0.3831075519323349,0.018479975123624686,0.026167273626924725,0,0
7,naive,1,0.8896,0.9409090876579285,0.859375,,0.0,0.3954740524291992,0.01943811048914207,0.047931629698723555,0,0
8,naive,1,0.9177,0.9133333563804626,0.5859375,,0.62890625,0.3767482653260231,0.01654566014622072,0.05362801564236482,0,0
9,naive,1,0.9238,0.9428571462631226,0.68359375,,0.0,0.3705404132604599,0.018776836066991934,0.04139654338359833,0,0
10,naive,1,0.9235,0.9866666793823242,0.87890625,,0.62890625,0.3730954170227051,0.01933365084001303,0.054157775826752186,0,0
11,naive,1,0.9278,0.9601770043373108,0.8828125,,0.62109375,0.3654531627893448,0.020084169046592174,0.0260471198707819,0,0
12,naive,1,0.9351,0.960869550704956,0.8984375,,0.62109375,0.36511464416980743,0.01875541003633192,0.03177250549197197,0,0
13,naive,1,0.9343,0.9488372206687927,0.83984375,,0.625,0.3786181449890137,0.019013680818596126,0.029527185950428247,0,0
14,naive,1,0.9358,0.9558823704719543,0.796875,,0.625,0.3622245967388153,0.015528729762262059,0.02996353921480477,0,0
15,naive,1,0.9393,0.971563994884491,0.82421875,,0.625,0.34829718470573423,0.014851658563092484,0.040267613250762224,0,0
16,naive,1,0.9358,0.9793388247489929,0.9453125,,0.625,0.3121443837881088,0.016997187625809353,0.02608127030543983,0,0
17,naive,1,0.9339,0.9777777791023254,0.87890625,,0.62109375,0.3227178692817688,0.014397968337827841,0.020091580925509334,0,0
18,naive,1,0.9302,0.9785407781600952,0.91015625,,0.625,0.3245368093252182,0.01355550522386941,0.023430983303114772,0,0
19,naive,1,0.9212,0.9459459185600281,0.8671875,,0.62890625,0.3346575140953064,0.015613296265472731,0.02000715583562851,0,0
