batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid,4,0.9311,,,,0.0,0.0,0.0,,0,0
0,centroid,4,0.9311,,0.0,0.9765625,0.0,0.12106308117508888,0.0,,0,0
1,centroid,4,0.9311,,0.0,0.9921875,0.0,0.11767992675304413,0.0,,0,0
2,centroid,4,0.9311,,0.0,0.94921875,0.62109375,0.11206304207444191,0.0,,0,0
3,centroid,4,0.9311,,0.0,0.95703125,0.0,0.11659403815865517,0.0,,0,0
4,centroid,4,0.9311,,0.0,0.94140625,0.62109375,0.11492112874984742,0.0,,0,0
5,centroid,4,0.9311,,0.0,0.93359375,0.0,0.11954520121216775,0.0,,0,0
6,centroid,4,0.9311,,0.0,0.953125,0.625,0.12438556030392647,0.0,,0,0
7,centroid,4,0.9311,,0.0,0.953125,0.0,0.12308286689221859,0.0,,0,0
8,centroid,4,0.9311,,0.0,0.93359375,0.62890625,0.11993862017989158,0.0,,0,0
9,centroid,4,0.9311,,0.0,0.93359375,0.0,0.11741515509784221,0.0,,0,0
10,centroid,4,0.9311,,0.0,0.953125,0.62890625,0.13283936455845832,0.0,,0,0
11,centroid,4,0.9311,,0.0,0.94921875,0.62109375,0.13391621932387351,0.0,,0,0
12,centroid,4,0.9311,,0.0,0.9609375,0.62109375,0.11702603548765182,0.0,,0,0
13,centroid,4,0.9311,,0.0,0.94921875,0.625,0.1490859601646662,0.0,,0,0
14,centroid,4,0.9311,,0.0,0.94921875,0.625,0.12785582356154918,0.0,,0,0
15,centroid,4,0.9311,,0.0,0.9765625,0.625,0.11604892760515213,0.0,,0,0
16,centroid,4,0.9311,,0.0,0.96484375,0.625,0.1306613575667143,0.0,,0,0
17,centroid,4,0.9311,,0.0,0.94921875,0.62109375,0.13396734297275542,0.0,,0,0
18,centroid,4,0.9311,,0.0,0.95703125,0.625,0.11567776277661324,0.0,,0,0
19,centroid,4,0.9311,,0.0,0.953125,0.62890625,0.12617154456675053,0.0,,0,0
