batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,distribution_tv,feature_centroid_drift,parameter_change,training_loss,buffer_size,buffer_replaced
-1,centroid,0,0.928,,,,0.0,0.0,0.0,,0,0
0,centroid,0,0.928,,0.0,0.97265625,0.0,0.1037016436457634,0.0,,0,0
1,centroid,0,0.928,,0.0,0.96875,0.0,0.10887706913053989,0.0,,0,0
2,centroid,0,0.928,,0.0,0.9453125,0.62109375,0.1435409016907215,0.0,,0,0
3,centroid,0,0.928,,0.0,0.9453125,0.0,0.11984319612383842,0.0,,0,0
4,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.11918764598667622,0.0,,0,0
5,centroid,0,0.928,,0.0,0.94140625,0.0,0.13952308259904384,0.0,,0,0
6,centroid,0,0.928,,0.0,0.96484375,0.625,0.12256906144320964,0.0,,0,0
7,centroid,0,0.928,,0.0,0.9609375,0.0,0.13322357460856438,0.0,,0,0
8,centroid,0,0.928,,0.0,0.92578125,0.62890625,0.13658623844385148,0.0,,0,0
9,centroid,0,0.928,,0.0,0.95703125,0.0,0.10692324712872506,0.0,,0,0
10,centroid,0,0.928,,0.0,0.96484375,0.62890625,0.12373253852128982,0.0,,0,0
11,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.11145690605044364,0.0,,0,0
12,centroid,0,0.928,,0.0,0.97265625,0.62109375,0.09283475689589978,0.0,,0,0
13,centroid,0,0.928,,0.0,0.95703125,0.625,0.11129185520112514,0.0,,0,0
14,centroid,0,0.928,,0.0,0.95703125,0.625,0.14836864322423934,0.0,,0,0
15,centroid,0,0.928,,0.0,0.9609375,0.625,0.11613468304276467,0.0,,0,0
16,centroid,0,0.928,,0.0,0.9375,0.625,0.10764641240239144,0.0,,0,0
17,centroid,0,0.928,,0.0,0.953125,0.62109375,0.10953333452343941,0.0,,0,0
18,centroid,0,0.928,,0.0,0.9453125,0.625,0.12890754081308842,0.0,,0,0
19,centroid,0,0.928,,0.0,0.9453125,0.62890625,0.11765477545559407,0.0,,0,0
