dataset,method,seed,reference_type,trajectory_comparable,initial_accuracy,final_accuracy,mean_stream_accuracy,classwise_forgetting,average_incremental_accuracy,backward_transfer_proxy,mean_pseudo_precision,mean_pseudo_coverage,mean_distribution_tv,mean_feature_centroid_drift,mean_parameter_change,mean_batch_seconds,total_seconds,final_buffer_size,ewc_lambda,threshold,initial_lr,online_lr,fisher_mean,fisher_max,_source_file,offline_training_seconds,offline_epochs,offline_train_examples,mean_initial_pseudo_precision,mean_cluster_precision,mean_semantic_precision,mean_sharpness_gap,mean_flat_width,mean_projected_gradient_fraction,final_subspace_rank
mnist,offline,3,oracle_joint_supervised,False,0.6648,0.946,,,,,,,0.437109375,,,,8.246378,,,,,,,,summary_mnist_offline_seed3_epochs5_lr0.001.json,4.765224583,5.0,6120.0,,,,,,,
mnist,offline,4,oracle_joint_supervised,False,0.5533,0.9147,,,,,,,0.437109375,,,,8.272272958,,,,,,,,summary_mnist_offline_seed4_epochs5_lr0.001.json,4.774644584000001,5.0,6120.0,,,,,,,
mnist,replay,0,continual_semi_supervised,True,0.2297,0.2297,0.2297,0.0,0.22282588208489565,0.0,,0.0,0.0,0.06180398718764385,0.0,3.5044945205,11.4760965,0.0,50.0,0.9,0.001,0.0005,,,summary_mnist_replay_seed0_lam50_thr0.9.json,,,,,,,,,,
mnist,replay,1,continual_semi_supervised,True,0.596,0.1135,0.12167500000000005,0.4935837937285661,0.13801194908692582,-0.48219748415684993,0.16302741914987565,0.905859375,0.41629464285714285,1.1291709423774765,0.0038475713342364143,3.60506556045,77.77368370800001,1000.0,50.0,0.9,0.001,0.0005,,,summary_mnist_replay_seed1_lam50_thr0.9.json,,,,,,,,,,
mnist,replay,2,continual_semi_supervised,True,0.4838,0.1135,0.14085000000000003,0.5349280907771007,0.15137897772049744,-0.3710510161402258,0.18618704117834567,0.8349609375,0.41629464285714285,1.1641740717348599,0.004842663103663908,3.621070768649999,78.071382959,1000.0,50.0,0.9,0.001,0.0005,,,summary_mnist_replay_seed2_lam50_thr0.9.json,,,,,,,,,,
mnist,replay,3,continual_semi_supervised,True,0.6648,0.1135,0.13320500000000005,0.5717330699964023,0.15312763725037976,-0.5586140164267215,0.1718412296846509,0.883984375,0.41629464285714285,1.0229187342382613,0.004534370139563797,3.601040999899999,77.826872958,1000.0,50.0,0.9,0.001,0.0005,,,summary_mnist_replay_seed3_lam50_thr0.9.json,,,,,,,,,,
mnist,replay,4,continual_semi_supervised,True,0.5533,0.1135,0.13966000000000003,0.5261595796556582,0.15350049947529817,-0.44155565862427915,0.1791175536811352,0.858984375,0.41629464285714285,1.0959986650518008,0.0045638092296310575,3.5958269187499994,77.616410292,1000.0,50.0,0.9,0.001,0.0005,,,summary_mnist_replay_seed4_lam50_thr0.9.json,,,,,,,,,,
svhn,ewc,0,continual_semi_supervised,True,0.1466656422864167,0.1466656422864167,0.14666564228641668,0.0,0.13932581469224872,0.0,,0.0,0.41629464285714285,0.17420649207418876,0.0,12.057373399949999,261.320266833,0.0,50.0,0.9,0.001,0.0005,0.000469768769107759,0.4533158838748932,summary_svhn_ewc_seed0_lam50_thr0.9.json,,,,,,,,,,
svhn,ewc,1,continual_semi_supervised,True,0.08347418561770129,0.08347418561770129,0.08347418561770129,0.0,0.09377013411653468,0.0,,0.0,0.41629464285714285,0.2314347605974901,0.0,11.1888211166,242.03786504200002,0.0,50.0,0.9,0.001,0.0005,9.537317237118259e-05,0.08985365182161331,summary_svhn_ewc_seed1_lam50_thr0.9.json,,,,,,,,,,
svhn,ewc,2,continual_semi_supervised,True,0.12088967424708051,0.12088967424708051,0.1208896742470805,0.0,0.11322162021258603,0.0,,0.0,0.41629464285714285,0.14068357450444074,0.0,11.2155670188,242.56571933400002,0.0,50.0,0.9,0.001,0.0005,7.149119483074173e-05,0.08983737975358963,summary_svhn_ewc_seed2_lam50_thr0.9.json,,,,,,,,,,
