batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,naive,1,0.9373,,,,0.0,,50.0,0.9
0,naive,1,0.9206,0.982300877571106,0.8828125,,0.023941597562293346,0.036140866577625275,50.0,0.9
1,naive,1,0.9063,0.990867555141449,0.85546875,,0.01988568783365077,0.018401842331513762,50.0,0.9
2,naive,1,0.9015,0.96875,0.75,,0.013642077063035656,0.04188909754157066,50.0,0.9
3,naive,1,0.9016,0.9708737730979919,0.8046875,,0.01878508746136938,0.024490621755830944,50.0,0.9
4,naive,1,0.9123,0.9289940595626831,0.66015625,,0.015557885873415066,0.03653704499204954,50.0,0.9
5,naive,1,0.9149,0.9629629850387573,0.73828125,,0.014695797375616217,0.021925910686453182,50.0,0.9
6,naive,1,0.906,0.9735682606697083,0.88671875,,0.017052248507295305,0.020367183722555637,50.0,0.9
7,naive,1,0.9063,0.9910714030265808,0.875,,0.014559187421815481,0.015126065351068974,50.0,0.9
8,naive,1,0.9241,0.8986486196517944,0.578125,,0.016483558712374478,0.056797237445910774,50.0,0.9
9,naive,1,0.923,0.9243243336677551,0.72265625,,0.017807867057124675,0.04012731028099855,50.0,0.9
10,naive,1,0.9194,0.9865471124649048,0.87109375,,0.018025393813506946,0.023057602113112807,50.0,0.9
11,naive,1,0.9188,0.9568965435028076,0.90625,,0.018186657341449003,0.01769223273731768,50.0,0.9
12,naive,1,0.9268,0.9495412707328796,0.8515625,,0.016661837190979904,0.030184287345036864,50.0,0.9
13,naive,1,0.9286,0.934272289276123,0.83203125,,0.017141033336318633,0.02318773337174207,50.0,0.9
14,naive,1,0.927,0.9452054500579834,0.85546875,,0.01353767609921298,0.021449780208058655,50.0,0.9
15,naive,1,0.9305,0.9603960514068604,0.7890625,,0.012892696165324118,0.016999319370370358,50.0,0.9
16,naive,1,0.9326,0.9741379022598267,0.90625,,0.011810651392591853,0.01733299996703863,50.0,0.9
17,naive,1,0.9299,0.9912280440330505,0.890625,,0.011401566042100702,0.01888307649642229,50.0,0.9
18,naive,1,0.932,0.9461883306503296,0.87109375,,0.01181457650344589,0.03230854368302971,50.0,0.9
19,naive,1,0.9391,0.948113203048706,0.828125,,0.01608964794055108,0.04864111146889627,50.0,0.9
