batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
11,centroid,4,0.9312,,0.0,0.9296875,0.0,,50.0,0.9
12,centroid,4,0.9312,,0.0,0.96484375,0.0,,50.0,0.9
13,centroid,4,0.9312,,0.0,0.9609375,0.0,,50.0,0.9
14,centroid,4,0.9312,,0.0,0.953125,0.0,,50.0,0.9
15,centroid,4,0.9312,,0.0,0.96484375,0.0,,50.0,0.9
16,centroid,4,0.9312,,0.0,0.96875,0.0,,50.0,0.9
17,centroid,4,0.9312,,0.0,0.94140625,0.0,,50.0,0.9
18,centroid,4,0.9312,,0.0,0.94921875,0.0,,50.0,0.9
19,centroid,4,0.9312,,0.0,0.9375,0.0,,50.0,0.9
-1,centroid_ewc,3,0.9248,,,,0.0,,50.0,0.9
0,centroid_ewc,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
1,centroid_ewc,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
2,centroid_ewc,3,0.9248,,0.0,0.96484375,0.0,,50.0,0.9
3,centroid_ewc,3,0.9248,,0.0,0.95703125,0.0,,50.0,0.9
4,centroid_ewc,3,0.9248,,0.0,0.87890625,0.0,,50.0,0.9
5,centroid_ewc,3,0.9248,,0.0,0.92578125,0.0,,50.0,0.9
6,centroid_ewc,3,0.9248,,0.0,0.9609375,0.0,,50.0,0.9
7,centroid_ewc,3,0.9248,,0.0,0.97265625,0.0,,50.0,0.9
8,centroid_ewc,3,0.9248,,0.0,0.921875,0.0,,50.0,0.9
9,centroid_ewc,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
10,centroid_ewc,3,0.9248,,0.0,0.9609375,0.0,,50.0,0.9
11,centroid_ewc,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
12,centroid_ewc,3,0.9248,,0.0,0.97265625,0.0,,50.0,0.9
13,centroid_ewc,3,0.9248,,0.0,0.91796875,0.0,,50.0,0.9
14,centroid_ewc,3,0.9248,,0.0,0.90625,0.0,,50.0,0.9
15,centroid_ewc,3,0.9248,,0.0,0.9765625,0.0,,50.0,0.9
16,centroid_ewc,3,0.9248,,0.0,0.9375,0.0,,50.0,0.9
17,centroid_ewc,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
18,centroid_ewc,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
19,centroid_ewc,3,0.9248,,0.0,0.93359375,0.0,,50.0,0.9
-1,naive,2,0.932,,,,0.0,,50.0,0.9
0,naive,2,0.9232,1.0,0.8828125,,0.0225985699857722,0.0315498318523168,50.0,0.9
1,naive,2,0.9059,0.9910314083099364,0.87109375,,0.0178894179493805,0.0199091368122026,50.0,0.9
2,naive,2,0.9012,0.9508196711540222,0.71484375,,0.0131987244611405,0.056647582600514,50.0,0.9
3,naive,2,0.8822,0.9519230723381042,0.8125,,0.0193493183021098,0.062607848085463,50.0,0.9
4,naive,2,0.8971,0.976878583431244,0.67578125,,0.0156294215780446,0.0390721373260021,50.0,0.9
5,naive,2,0.9081,0.969543159008026,0.76953125,,0.0230775859720559,0.0270380895817652,50.0,0.9
6,naive,2,0.902,0.9807692170143129,0.8125,,0.0166604247604734,0.0362201086245477,50.0,0.9
7,naive,2,0.8934,0.9905660152435304,0.828125,,0.0199941796027281,0.0323066869750618,50.0,0.9
8,naive,2,0.8916,0.915032684803009,0.59765625,,0.0161368607258916,0.0730761314431826,50.0,0.9
9,naive,2,0.8583,0.9481865167617798,0.75390625,,0.0242208540924036,0.0439248099719407,50.0,0.9
10,naive,2,0.8489,0.9512194991111756,0.80078125,,0.0223392310758095,0.0514283501543104,50.0,0.9
11,naive,2,0.8481,0.9552238583564758,0.78515625,,0.0197638206079727,0.034786308882758,50.0,0.9
12,naive,2,0.8608,0.9285714030265808,0.765625,,0.0194220820723713,0.044562447728822,50.0,0.9
13,naive,2,0.8664,0.8522727489471436,0.6875,,0.0163763924902788,0.0816442258656025,50.0,0.9
14,naive,2,0.8712,0.939393937587738,0.7734375,,0.018444775699001,0.0336404447443783,50.0,0.9
15,naive,2,0.8506,0.9495412707328796,0.8515625,,0.0180482876523698,0.0232788268476724,50.0,0.9
16,naive,2,0.8566,0.9253731369972228,0.78515625,,0.0198487818148639,0.0420000914018601,50.0,0.9
17,naive,2,0.8368,0.8673469424247742,0.765625,,0.0229537894089974,0.0532917282544076,50.0,0.9
18,naive,2,0.8438,0.8888888955116272,0.73828125,,0.0170498313657346,0.0281442139918605,50.0,0.9
19,naive,2,0.8497,0.9082568883895874,0.8515625,,0.0189723143832058,0.0673405127599835,50.0,0.9
-1,centroid,0,0.9321,,,,0.0,,50.0,0.9
0,centroid,0,0.9321,,0.0,0.9765625,0.0,,50.0,0.9
1,centroid,0,0.9321,,0.0,0.9921875,0.0,,50.0,0.9
2,centroid,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
3,centroid,0,0.9321,,0.0,0.921875,0.0,,50.0,0.9
4,centroid,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
5,centroid,0,0.9321,,0.0,0.9453125,0.0,,50.0,0.9
6,centroid,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
7,centroid,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
8,centroid,0,0.9321,,0.0,0.94140625,0.0,,50.0,0.9
9,centroid,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
10,centroid,0,0.9321,,0.0,0.98046875,0.0,,50.0,0.9
11,centroid,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
13,centroid,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
14,centroid,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid,0,0.9321,,0.0,0.96875,0.0,,50.0,0.9
16,centroid,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
17,centroid,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
18,centroid,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
19,centroid,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
-1,centroid_ewc,0,0.9321,,,,0.0,,50.0,0.9
0,centroid_ewc,0,0.9321,,0.0,0.9765625,0.0,,50.0,0.9
1,centroid_ewc,0,0.9321,,0.0,0.9921875,0.0,,50.0,0.9
2,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
3,centroid_ewc,0,0.9321,,0.0,0.921875,0.0,,50.0,0.9
4,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
5,centroid_ewc,0,0.9321,,0.0,0.9453125,0.0,,50.0,0.9
6,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
7,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
8,centroid_ewc,0,0.9321,,0.0,0.94140625,0.0,,50.0,0.9
9,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
10,centroid_ewc,0,0.9321,,0.0,0.98046875,0.0,,50.0,0.9
11,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
13,centroid_ewc,0,0.9321,,0.0,0.9609375,0.0,,50.0,0.9
14,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid_ewc,0,0.9321,,0.0,0.96875,0.0,,50.0,0.9
16,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
17,centroid_ewc,0,0.9321,,0.0,0.97265625,0.0,,50.0,0.9
18,centroid_ewc,0,0.9321,,0.0,0.95703125,0.0,,50.0,0.9
19,centroid_ewc,0,0.9321,,0.0,0.953125,0.0,,50.0,0.9
-1,centroid,3,0.9248,,,,0.0,,50.0,0.9
0,centroid,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
1,centroid,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
2,centroid,3,0.9248,,0.0,0.96484375,0.0,,50.0,0.9
3,centroid,3,0.9248,,0.0,0.95703125,0.0,,50.0,0.9
4,centroid,3,0.9248,,0.0,0.87890625,0.0,,50.0,0.9
5,centroid,3,0.9248,,0.0,0.92578125,0.0,,50.0,0.9
6,centroid,3,0.9248,,0.0,0.9609375,0.0,,50.0,0.9
7,centroid,3,0.9248,,0.0,0.97265625,0.0,,50.0,0.9
8,centroid,3,0.9248,,0.0,0.921875,0.0,,50.0,0.9
9,centroid,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
10,centroid,3,0.9248,,0.0,0.9609375,0.0,,50.0,0.9
11,centroid,3,0.9248,,0.0,0.96875,0.0,,50.0,0.9
12,centroid,3,0.9248,,0.0,0.97265625,0.0,,50.0,0.9
13,centroid,3,0.9248,,0.0,0.91796875,0.0,,50.0,0.9
14,centroid,3,0.9248,,0.0,0.90625,0.0,,50.0,0.9
15,centroid,3,0.9248,,0.0,0.9765625,0.0,,50.0,0.9
16,centroid,3,0.9248,,0.0,0.9375,0.0,,50.0,0.9
17,centroid,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
18,centroid,3,0.9248,,0.0,0.9296875,0.0,,50.0,0.9
19,centroid,3,0.9248,,0.0,0.93359375,0.0,,50.0,0.9
-1,centroid_ewc,4,0.9312,,,,0.0,,50.0,0.9
0,centroid_ewc,4,0.9312,,0.0,0.99609375,0.0,,50.0,0.9
1,centroid_ewc,4,0.9312,,0.0,0.984375,0.0,,50.0,0.9
2,centroid_ewc,4,0.9312,,0.0,0.93359375,0.0,,50.0,0.9
3,centroid_ewc,4,0.9312,,0.0,0.96484375,0.0,,50.0,0.9
4,centroid_ewc,4,0.9312,,0.0,0.9609375,0.0,,50.0,0.9
5,centroid_ewc,4,0.9312,,0.0,0.9609375,0.0,,50.0,0.9
6,centroid_ewc,4,0.9312,,0.0,0.94921875,0.0,,50.0,0.9
7,centroid_ewc,4,0.9312,,0.0,0.96875,0.0,,50.0,0.9
8,centroid_ewc,4,0.9312,,0.0,0.93359375,0.0,,50.0,0.9
9,centroid_ewc,4,0.9312,,0.0,0.92578125,0.0,,50.0,0.9
10,centroid_ewc,4,0.9312,,0.0,0.95703125,0.0,,50.0,0.9
11,centroid_ewc,4,0.9312,,0.0,0.9296875,0.0,,50.0,0.9
12,centroid_ewc,4,0.9312,,0.0,0.96484375,0.0,,50.0,0.9
13,centroid_ewc,4,0.9312,,0.0,0.9609375,0.0,,50.0,0.9
14,centroid_ewc,4,0.9312,,0.0,0.953125,0.0,,50.0,0.9
15,centroid_ewc,4,0.9312,,0.0,0.96484375,0.0,,50.0,0.9
16,centroid_ewc,4,0.9312,,0.0,0.96875,0.0,,50.0,0.9
17,centroid_ewc,4,0.9312,,0.0,0.94140625,0.0,,50.0,0.9
18,centroid_ewc,4,0.9312,,0.0,0.94921875,0.0,,50.0,0.9
19,centroid_ewc,4,0.9312,,0.0,0.9375,0.0,,50.0,0.9
-1,naive,1,0.9373,,,,0.0,,50.0,0.9
0,naive,1,0.9206,0.982300877571106,0.8828125,,0.0239415975622933,0.0361408665776252,50.0,0.9
1,naive,1,0.9063,0.990867555141449,0.85546875,,0.0198856878336507,0.0184018423315137,50.0,0.9
2,naive,1,0.9015,0.96875,0.75,,0.0136420770630356,0.0418890975415706,50.0,0.9
3,naive,1,0.9016,0.970873773097992,0.8046875,,0.0187850874613693,0.0244906217558309,50.0,0.9
4,naive,1,0.9123,0.9289940595626832,0.66015625,,0.015557885873415,0.0365370449920495,50.0,0.9
5,naive,1,0.9149,0.9629629850387572,0.73828125,,0.0146957973756162,0.0219259106864531,50.0,0.9
6,naive,1,0.906,0.9735682606697084,0.88671875,,0.0170522485072953,0.0203671837225556,50.0,0.9
7,naive,1,0.9063,0.9910714030265808,0.875,,0.0145591874218154,0.0151260653510689,50.0,0.9
8,naive,1,0.9241,0.8986486196517944,0.578125,,0.0164835587123744,0.0567972374459107,50.0,0.9
9,naive,1,0.923,0.9243243336677552,0.72265625,,0.0178078670571246,0.0401273102809985,50.0,0.9
10,naive,1,0.9194,0.9865471124649048,0.87109375,,0.0180253938135069,0.0230576021131128,50.0,0.9
11,naive,1,0.9188,0.9568965435028076,0.90625,,0.018186657341449,0.0176922327373176,50.0,0.9
12,naive,1,0.9268,0.9495412707328796,0.8515625,,0.0166618371909799,0.0301842873450368,50.0,0.9
13,naive,1,0.9286,0.934272289276123,0.83203125,,0.0171410333363186,0.023187733371742,50.0,0.9
14,naive,1,0.927,0.9452054500579834,0.85546875,,0.0135376760992129,0.0214497802080586,50.0,0.9
15,naive,1,0.9305,0.9603960514068604,0.7890625,,0.0128926961653241,0.0169993193703703,50.0,0.9
16,naive,1,0.9326,0.9741379022598268,0.90625,,0.0118106513925918,0.0173329999670386,50.0,0.9
17,naive,1,0.9299,0.9912280440330504,0.890625,,0.0114015660421007,0.0188830764964222,50.0,0.9
18,naive,1,0.932,0.9461883306503296,0.87109375,,0.0118145765034458,0.0323085436830297,50.0,0.9
19,naive,1,0.9391,0.948113203048706,0.828125,,0.016089647940551,0.0486411114688962,50.0,0.9
-1,naive,4,0.9312,,,,0.0,,50.0,0.9
0,naive,4,0.9282,0.9955947399139404,0.88671875,,0.0228904771336825,0.0212422492913901,50.0,0.9
1,naive,4,0.9198,0.9814814925193788,0.84375,,0.0165004070586267,0.0253476432990282,50.0,0.9
2,naive,4,0.9142,0.9802955389022828,0.79296875,,0.0152338504842335,0.0282385926693677,50.0,0.9
3,naive,4,0.9142,0.9677419066429138,0.84765625,,0.0171190556699206,0.0360251776874065,50.0,0.9
4,naive,4,0.9134,0.979695439338684,0.76953125,,0.0177044424322861,0.0263238828629255,50.0,0.9
5,naive,4,0.8935,0.9767441749572754,0.83984375,,0.0171591898453648,0.0338927167467772,50.0,0.9
6,naive,4,0.8631,0.9711538553237916,0.8125,,0.0186909995798123,0.0358075702388305,50.0,0.9
7,naive,4,0.8632,0.9772727489471436,0.859375,,0.0190337295147267,0.0560022923164069,50.0,0.9
8,naive,4,0.8847,0.8015872836112976,0.4921875,,0.0168371165897666,0.1010351628065109,50.0,0.9
9,naive,4,0.8909,0.8333333134651184,0.515625,,0.023771002478293,0.0765501086910565,50.0,0.9
10,naive,4,0.8904,0.9728506803512572,0.86328125,,0.0319324704236502,0.0377049949020147,50.0,0.9
11,naive,4,0.8674,0.9575471878051758,0.828125,,0.0254013464484584,0.0276773811783641,50.0,0.9
12,naive,4,0.8554,0.9579439163208008,0.8359375,,0.0205680158814993,0.0330218585440889,50.0,0.9
13,naive,4,0.8524,0.9038461446762084,0.8125,,0.0184451538993632,0.0263898442499339,50.0,0.9
14,naive,4,0.8563,0.9200000166893004,0.78125,,0.0207087279303205,0.0660168435424566,50.0,0.9
15,naive,4,0.8393,0.8181818127632141,0.73046875,,0.0230280398066202,0.0514094308018684,50.0,0.9
16,naive,4,0.8199,0.9336283206939696,0.8828125,,0.0248750247355296,0.0258248560130596,50.0,0.9
17,naive,4,0.8026,0.8973214030265808,0.875,,0.0207684059464252,0.0323794702999293,50.0,0.9
18,naive,4,0.8055,0.8823529481887817,0.796875,,0.0200430921735304,0.0499760899692773,50.0,0.9
19,naive,4,0.7927,0.6650943160057068,0.828125,,0.0210730454077205,0.0550055052153766,50.0,0.9
-1,centroid_ewc,1,0.9373,,,,0.0,,50.0,0.9
0,centroid_ewc,1,0.9373,,0.0,0.9765625,0.0,,50.0,0.9
1,centroid_ewc,1,0.9373,,0.0,0.98046875,0.0,,50.0,0.9
2,centroid_ewc,1,0.9373,,0.0,0.953125,0.0,,50.0,0.9
3,centroid_ewc,1,0.9373,,0.0,0.921875,0.0,,50.0,0.9
4,centroid_ewc,1,0.9373,,0.0,0.94140625,0.0,,50.0,0.9
5,centroid_ewc,1,0.9373,,0.0,0.953125,0.0,,50.0,0.9
6,centroid_ewc,1,0.9373,,0.0,0.96875,0.0,,50.0,0.9
7,centroid_ewc,1,0.9373,,0.0,0.9609375,0.0,,50.0,0.9
8,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
9,centroid_ewc,1,0.9373,,0.0,0.91796875,0.0,,50.0,0.9
10,centroid_ewc,1,0.9373,,0.0,0.94921875,0.0,,50.0,0.9
11,centroid_ewc,1,0.9373,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid_ewc,1,0.9373,,0.0,0.95703125,0.0,,50.0,0.9
13,centroid_ewc,1,0.9373,,0.0,0.93359375,0.0,,50.0,0.9
14,centroid_ewc,1,0.9373,,0.0,0.94140625,0.0,,50.0,0.9
15,centroid_ewc,1,0.9373,,0.0,0.96875,0.0,,50.0,0.9
16,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
17,centroid_ewc,1,0.9373,,0.0,0.96484375,0.0,,50.0,0.9
18,centroid_ewc,1,0.9373,,0.0,0.95703125,0.0,,50.0,0.9
19,centroid_ewc,1,0.9373,,0.0,0.9375,0.0,,50.0,0.9
-1,centroid,2,0.932,,,,0.0,,50.0,0.9
0,centroid,2,0.932,,0.0,0.98828125,0.0,,50.0,0.9
1,centroid,2,0.932,,0.0,0.98046875,0.0,,50.0,0.9
2,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
3,centroid,2,0.932,,0.0,0.93359375,0.0,,50.0,0.9
4,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
5,centroid,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
6,centroid,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
7,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
8,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
9,centroid,2,0.932,,0.0,0.9453125,0.0,,50.0,0.9
10,centroid,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
11,centroid,2,0.932,,0.0,0.97265625,0.0,,50.0,0.9
12,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
13,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
14,centroid,2,0.932,,0.0,0.95703125,0.0,,50.0,0.9
15,centroid,2,0.932,,0.0,0.9609375,0.0,,50.0,0.9
16,centroid,2,0.932,,0.0,0.953125,0.0,,50.0,0.9
17,centroid,2,0.932,,0.0,0.94921875,0.0,,50.0,0.9
18,centroid,2,0.932,,0.0,0.9375,0.0,,50.0,0.9
19,centroid,2,0.932,,0.0,0.96484375,0.0,,50.0,0.9
-1,naive,0,0.9321,,,,0.0,,50.0,0.9
0,naive,0,0.9172,0.9954751133918762,0.86328125,,0.0223392705631773,0.0387480212375521,50.0,0.9
1,naive,0,0.8954,0.9862385392189026,0.8515625,,0.0178902431804989,0.0262894229963421,50.0,0.9
2,naive,0,0.8935,0.9712643623352052,0.6796875,,0.0170045857014984,0.0704166119297345,50.0,0.9
3,naive,0,0.8976,0.9746192693710328,0.76953125,,0.0287849523670162,0.0382349602878093,50.0,0.9
4,naive,0,0.8798,0.9719626307487488,0.8359375,,0.0272378167362059,0.0420451222453266,50.0,0.9
5,naive,0,0.8309,0.9910714030265808,0.875,,0.0298351293394911,0.0534236831590533,50.0,0.9
6,naive,0,0.8279,0.9502487778663636,0.78515625,,0.0235335801833928,0.03239292766375,50.0,0.9
7,naive,0,0.8333,0.9631336331367492,0.84765625,,0.0205855071291438,0.0188690845970995,50.0,0.9
8,naive,0,0.8377,0.7709923386573792,0.51171875,,0.0160413653729437,0.0499330722668673,50.0,0.9
9,naive,0,0.8392,0.7904191613197327,0.65234375,,0.0163401643509317,0.0577624514698982,50.0,0.9
10,naive,0,0.8249,0.9545454382896424,0.859375,,0.0233345913666959,0.0319609973230399,50.0,0.9
11,naive,0,0.8198,0.931034505367279,0.79296875,,0.0192510755296619,0.0384008246473968,50.0,0.9
12,naive,0,0.8249,0.9447004795074464,0.84765625,,0.0240267835551004,0.0457387119531631,50.0,0.9
13,naive,0,0.8335,0.9519230723381042,0.8125,,0.0221088111303726,0.0325028919614851,50.0,0.9
14,naive,0,0.8372,0.949999988079071,0.859375,,0.022916352474183,0.0581899271346628,50.0,0.9
15,naive,0,0.8407,0.75,0.75,,0.016640184070193,0.0276669735709826,50.0,0.9
16,naive,0,0.8373,0.9677419066429138,0.84765625,,0.0214057337543817,0.0280309030786156,50.0,0.9
17,naive,0,0.8373,0.9248826503753662,0.83203125,,0.0203220771423314,0.0259514346253126,50.0,0.9
18,naive,0,0.8342,0.917475700378418,0.8046875,,0.0164391170586213,0.0479778330773115,50.0,0.9
19,naive,0,0.8159,0.6912442445755005,0.84765625,,0.0213275586645509,0.0329995891079306,50.0,0.9
