batch,method,seed,test_accuracy,pseudo_precision,pseudo_coverage,agreement,parameter_change,training_loss,ewc_lambda,threshold
-1,naive,3,0.9248,,,,0.0,,50.0,0.9
0,naive,3,0.9172,1.0,0.8359375,,0.02637784524011903,0.02332363068126142,50.0,0.9
1,naive,3,0.8954,0.9911110997200012,0.87890625,,0.01974920938278703,0.01917502866126597,50.0,0.9
2,naive,3,0.9015,0.932584285736084,0.6953125,,0.013737867704201682,0.04493944284816583,50.0,0.9
3,naive,3,0.9205,0.9494949579238892,0.7734375,,0.02121899098627354,0.031983544569811784,50.0,0.9
4,naive,3,0.9237,0.9550561904907227,0.6953125,,0.014208623734086687,0.03357002263267835,50.0,0.9
5,naive,3,0.9247,0.9371980428695679,0.80859375,,0.016536729235916793,0.029612854588776827,50.0,0.9
6,naive,3,0.9313,0.9811320900917053,0.828125,,0.018009863122214545,0.04252535942941904,50.0,0.9
7,naive,3,0.9275,0.9869565367698669,0.8984375,,0.0211108181201337,0.023607720155268908,50.0,0.9
8,naive,3,0.9303,0.9235668778419495,0.61328125,,0.015925486923120066,0.05548251916964849,50.0,0.9
9,naive,3,0.9155,0.970588207244873,0.796875,,0.019543187567166862,0.045228672097437084,50.0,0.9
10,naive,3,0.9162,0.9444444179534912,0.84375,,0.021820154474696544,0.03698317380622029,50.0,0.9
11,naive,3,0.9279,0.9441624283790588,0.76953125,,0.023259238037446697,0.04727886896580458,50.0,0.9
12,naive,3,0.9345,0.9813084006309509,0.8359375,,0.018355089699286807,0.026318348944187164,50.0,0.9
13,naive,3,0.9381,0.9718309640884399,0.83203125,,0.018269217072218007,0.021854049991816282,50.0,0.9
14,naive,3,0.9371,0.9822221994400024,0.87890625,,0.013954514607590836,0.019802467664703727,50.0,0.9
15,naive,3,0.9372,0.9825327396392822,0.89453125,,0.013612652731986126,0.04224686557427049,50.0,0.9
16,naive,3,0.9332,0.9767441749572754,0.83984375,,0.019340361284360327,0.032080487348139286,50.0,0.9
17,naive,3,0.935,0.9678899049758911,0.8515625,,0.02366815816445154,0.03817841270938516,50.0,0.9
18,naive,3,0.9335,0.9744681119918823,0.91796875,,0.018528967949680834,0.024703503120690584,50.0,0.9
19,naive,3,0.9327,0.9622641801834106,0.828125,,0.01644566807516051,0.029665281530469656,50.0,0.9
